Age,Education Level,Gender,College GPA (/4),A Level Result (/5),Age Started Gaming,Mobile or PC,Sleep Time,Attend Morning Class,Average Gaming Time (hrs/day),Game Played,Read Newspaper,Paid or Unpaid Game,Time with Family and Friends,Feelings Without Gaming in a Day,Feelings After Completing Level,Fatigue,Gaming for Stress Relief,Glasses
20,Bachelor Level,Male,3.3,3,18,Mobile,23,Yes,2,FIFA,Regular,Unpaid,1,negative,Excited,Yes,Yes,Yes
26,Master's Level,Male,2.67,3,17,Mobile,23,No,1,FREE FIRE,Regular,Unpaid,1,negative,Excited,Yes,Yes,No
22,Master's Level,Male,3.12,4,16,PC,22,No,2,PUBG,Regular,Unpaid,6,negative,Excited,Yes,No,Yes
19,Bachelor Level,Female,3.25,4,15,Mobile,23,Yes,4,FIFA,Regular,Unpaid,4,negative,Bored,Yes,Yes,Yes
21,Bachelor Level,Female,3.3,3,18,"Mobile, PC",0,Yes,4,PUBG,Regular,Paid,7,negative,Bored,Yes,Yes,No
22,Bachelor Level,Male,3.45,4.6,19,Mobile,0,Yes,1,FIFA,Not regular,Unpaid,2,positive,Excited,Yes,No,No
25,Bachelor Level,Male,3,4.88,20,Mobile,3,Yes,6,PUBG,Not regular,Unpaid,6,negative,Bored,Yes,Yes,No
22,Bachelor Level,Male,3.5,4.5,15,Mobile,2,Yes,2,FREE FIRE,Not regular,Unpaid,7,positive,Excited,No,No,No
25,Bachelor Level,Male,3.48,3.2,16,"Mobile, PC",1,Yes,2,PUBG,Not regular,Unpaid,3,positive,Bored,No,Yes,Yes
22,Master's Level,Male,2.5,4.4,23,Mobile,4,Yes,5,PUBG,Regular,Paid,2,negative,Excited,Yes,Yes,No
23,Bachelor Level,Male,3,3,20,Mobile,23,Yes,6,FIFA,Regular,Unpaid,6,negative,Excited,Yes,Yes,No
22,Bachelor Level,Female,2.65,4.5,19,Mobile,23,No,5,PUBG,Regular,Paid,1,negative,Bored,Yes,Yes,No
20,Bachelor Level,Female,2.47,3.71,20,PC,22,No,6,IGA,Regular,Paid,1,negative,Bored,Yes,No,Yes
30,Master's Level,Female,3,3.87,18,PC,0,Yes,6,FREE FIRE,Regular,Paid,3,negative,Excited,Yes,No,Yes
20,Bachelor Level,Female,2.45,3.4,19,PC,23,No,3,PES,Not regular,Paid,3,negative,Excited,Yes,Yes,Yes
23,Bachelor Level,Male,3.39,4.46,23,Mobile,23,No,6,PUBG,Not regular,Paid,3,negative,Bored,No,No,No
20,Bachelor Level,Male,2.49,3.04,16,Mobile,2,No,6,COC,Regular,Paid,3,negative,Bored,No,No,No
22,Bachelor Level,Male,3.56,3.03,19,Mobile,2,No,2,PES,Regular,Paid,3,negative,Bored,Yes,Yes,Yes
28,Master's Level,Male,2.45,4.91,20,PC,23,No,6,PES,Regular,Paid,3,negative,Excited,No,Yes,No
22,Bachelor Level,Female,3.53,4,19,PC,2,No,6,PES,Not regular,Paid,3,negative,Excited,No,Yes,No
22,Bachelor Level,Male,3.14,4.82,18,Mobile,22,Yes,6,IGA,Regular,Paid,1,negative,Excited,No,Yes,No
26,Master's Level,Male,3.76,4.81,19,PC,0,Yes,5,PUBG,Not regular,Paid,1,negative,Excited,Yes,No,No
21,Bachelor Level,Female,2.42,4,24,Mobile,23,Yes,6,FREE FIRE,Not regular,Paid,2,positive,Excited,No,Yes,Yes
28,Master's Level,Male,3.51,4.83,21,PC,0,No,3,FIFA,Regular,Paid,1,positive,Bored,Yes,No,Yes
20,Bachelor Level,Female,3.8,4.01,17,Mobile,1,Yes,6,PES,Not regular,Paid,3,positive,Excited,No,Yes,Yes
25,Bachelor Level,Female,3.47,4,21,Mobile,23,No,2,PES,Regular,Paid,3,positive,Excited,No,Yes,Yes
29,Master's Level,Male,2.86,3.83,22,PC,1,Yes,5,COC,Regular,Paid,2,negative,Excited,No,Yes,No
28,Master's Level,Female,3.61,4.41,16,Mobile,1,No,3,PES,Not regular,Paid,1,positive,Excited,Yes,Yes,Yes
27,Master's Level,Female,3.19,4.53,18,PC,23,Yes,6,PES,Not regular,Paid,2,negative,Bored,Yes,No,No
22,Bachelor Level,Female,3.1,3.98,22,PC,22,Yes,2,PUBG,Regular,Paid,2,negative,Bored,No,No,Yes
29,Master's Level,Female,3.86,4,24,Mobile,1,No,2,IGA,Not regular,Paid,1,negative,Bored,Yes,Yes,Yes
21,Bachelor Level,Male,2.36,4,23,Mobile,1,Yes,3,IGA,Regular,Paid,2,negative,Bored,Yes,No,Yes
