name,genre,year,rating,score,votes,budget,gross,runtime
The Prodigy,Fantasy,2019,R,5.9,24000.0,6000000.0,21150265.0,92.0
Overcomer,Drama,2019,PG,6.6,4100.0,5000000.0,38026103.0,119.0
A Madea Family Funeral,Comedy,2019,PG-13,4.5,4000.0,20000000.0,74747725.0,109.0
The Sun Is also a Star,Drama,2019,PG-13,5.9,6600.0,9000000.0,6750029.0,100.0
K-12,Fantasy,2019,Not Rated,6.5,2500.0,5000000.0,359377.0,96.0
Unplanned,Biography,2019,R,5.8,13000.0,6000000.0,21354152.0,109.0
Mine 9,Drama,2019,Not Rated,6.4,4400.0,350000.0,226421.0,83.0
High on the Hog,Action,2019,R,3.5,195.0,1200000.0,45696.0,85.0
Tenet,Action,2020,PG-13,7.4,387000.0,205000000.0,363656624.0,150.0
Birds of Prey,Action,2020,R,6.1,190000.0,84500000.0,201858461.0,109.0
The Invisible Man,Drama,2020,R,7.1,186000.0,7000000.0,143151000.0,124.0
Bad Boys for Life,Action,2020,R,6.6,140000.0,90000000.0,426505244.0,124.0
Sonic the Hedgehog,Action,2020,PG,6.5,102000.0,85000000.0,319715683.0,99.0
Dolittle,Adventure,2020,PG,5.6,53000.0,175000000.0,245487753.0,101.0
The Call of the Wild,Adventure,2020,PG,6.8,42000.0,135000000.0,111105497.0,100.0
The Eight Hundred,Action,2020,Not Rated,6.8,3700.0,80000000.0,461421559.0,149.0
