close_approach_datetime,distance_au,min_distance_au,max_distance_au,relative_velocity_kms,absolute_magnitude,estimated_diameter_km
2026-Jun-05 16:30,0.0106834618731427,0.010664263495215,0.0107026586286259,4.51321066335819,27.033,
2026-Jun-05 17:08,0.0094964407795962,0.0094868672195283,0.009506014105882,6.82723631652797,26.61,
2026-Jun-05 17:46,0.125796995144244,0.125796485076771,0.12579750521369,15.2105589922243,21.34,
2026-Jun-05 17:49,0.0889852586624539,0.088984865680006,0.0889856516449625,7.99355045656917,24.94,
2026-Jun-05 19:36,0.141410634704611,0.12918066202389,0.153645211806401,6.22484711745615,29.1,
2026-Jun-05 20:41,0.436432061784418,0.432570945380169,0.440301373422733,5.76534431296884,25.9,
2026-Jun-05 22:42,0.398699281358228,0.392902058043888,0.404543194462696,6.39888760826677,27.5,
2026-Jun-06 00:04,0.377661206016412,0.327421001799522,0.428114810595251,20.8332015140947,25.18,
2026-Jun-06 06:51,0.395030434374278,0.394562434378729,0.395498464123958,6.05911861976657,24.71,
2026-Jun-06 07:49,0.0037735487135939,0.0037676873155797,0.0037794098908187,10.7001552095242,25.51,
2026-Jun-06 08:36,0.112267909846448,0.11226689134767,0.112268928367542,17.3402140504535,21.62,
2026-Jun-06 11:33,0.0565305280071221,0.0561994967707323,0.056861549260224,6.01657962420301,24.086,
2026-Jun-06 13:12,0.0437653238971348,0.0433952215022222,0.0441354222870004,13.6612881272571,25.162,
2026-Jun-06 16:56,0.416582507907375,0.416581860879306,0.416583154935467,16.0783776860916,25.6,
2026-Jun-06 20:30,0.0997713286471965,0.0997710760432833,0.0997715812513421,14.4751730433714,19.47,
2026-Jun-06 20:47,0.0140086680051228,0.0139771497923391,0.0140401853705009,7.91829336782443,27.775,
2026-Jun-06 21:18,0.262726448452776,0.262716282457087,0.262736614463086,12.176331492195,25.33,
2026-Jun-06 21:25,0.097233192439458,0.0971264019414608,0.097339982897174,17.693115721465,23.13,
2026-Jun-07 05:49,0.401996760560739,0.400320190073931,0.403674254828709,5.46962461875948,26.2,
2026-Jun-07 08:14,0.157844895748543,0.157843413863328,0.157846377638971,21.89006949545,21.22,
2026-Jun-07 09:13,0.0249452351738794,0.0247616395466147,0.025128832239198,12.2586728994551,25.169,
2026-Jun-07 09:32,0.120228503337363,0.064935006722805,0.252381121861425,19.1970385769188,23.5,
2026-Jun-07 09:38,0.0005513581384929,0.0005511163143694,0.000551599944568,8.0725638240654,28.832,
2026-Jun-07 09:43,0.10093892171342,0.100937983963691,0.100939859472137,7.33331763972196,22.59,
2026-Jun-07 11:12,0.346864803793682,0.346829696275561,0.346899911432116,30.3417279946879,22.05,
2026-Jun-07 12:44,0.0794021078765091,0.0793870729596285,0.0794171427922162,7.61404314991631,23.89,
2026-Jun-07 12:56,0.269370296606192,0.243928088499594,0.294868757548175,12.3795432109361,27.77,
2026-Jun-07 14:05,0.041895690346801,0.0388079820043577,0.0450817126606901,3.0944487126551,27.5,
2026-Jun-07 16:19,0.131508108325932,0.131408577202058,0.131607655978201,5.97221023659169,25.65,
2026-Jun-07 20:06,0.4802618820491,0.476825774215894,0.483700430067204,10.2016594239037,26.06,
2026-Jun-07 23:15,0.0121882815419535,0.0121306321890404,0.0122459301295404,17.6705395569637,25.678,
2026-Jun-08 00:56,0.28982552985188,0.277000521609865,0.303972708319971,6.99332189755073,22.93,
2026-Jun-08 03:54,0.0040036243004158,0.0039979488185945,0.0040092996754354,14.3207792683642,26.877,
2026-Jun-08 07:17,0.124706737431121,0.124016966136413,0.125396506138797,11.0380471018251,22.44,
2026-Jun-08 13:38,0.121188764406025,0.121188478450964,0.121189050361114,7.47071468674701,20.78,
2026-Jun-08 13:42,0.227408383393583,0.211202462153953,0.243721826487461,11.7377387606952,23.93,
2026-Jun-08 14:46,0.0960112515393489,0.0817922889986124,0.110249011803988,5.8793349078879,26.97,
2026-Jun-08 15:34,0.346056353045191,0.33674181369183,0.355376060515204,15.6612264483646,23.0,
2026-Jun-08 21:42,0.0093214091774387,0.0092781700641774,0.0093646474532217,16.5968723580037,25.679,
2026-Jun-08 22:18,0.0114039027262323,0.0113837023471364,0.011424102611487,8.26047389691287,27.609,
2026-Jun-09 03:05,0.217841094243099,0.198641630617393,0.244543602898697,9.43057004849878,25.27,
2026-Jun-09 05:08,0.0157040854736728,0.0156814363298709,0.0157267343249401,8.72571580768299,25.03,
2026-Jun-09 05:23,0.0076361401517214,0.0076032400074129,0.0076690380188639,9.31702599530216,24.13,
2026-Jun-09 06:09,0.0219503598642786,0.021858530731399,0.0220421919616706,13.4025650963951,25.165,
