title,score,scored_by,rank,popularity,members,favorites,episodes,type,source,status,year,season,rating,duration,genres,themes,demographics,studios,producers,licensors
Ping Pong the Animation,8.63,205627,96.0,608,443153,17623,11.0,TV,Manga,Finished Airing,2014.0,spring,PG-13 - Teens 13 or older,23 min per ep,"Award Winning, Drama, Sports",,Seinen,Tatsunoko Production,"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings",Funimation
Death Note,8.62,3024042,98.0,2,4326205,186643,37.0,TV,Manga,Finished Airing,2006.0,fall,R - 17+ (violence & profanity),23 min per ep,"Supernatural, Suspense",Psychological,Shounen,Madhouse,"VAP, Nippon Television Network, Shueisha, D.N. Dream Partners",VIZ Media
Haikyu!! Movie: The Dumpster Battle,8.62,111658,99.0,1224,233465,1757,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 24 min,Sports,"School, Team Sports",Shounen,Production I.G,"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Crunchyroll
Look Back,8.62,144838,100.0,1133,252664,5200,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,57 min,"Award Winning, Drama",Otaku Culture,Shounen,Studio DURIAN,"Tohokushinsha Film Corporation, Avex Pictures, Shueisha, Amazon MGM Studios",GKIDS
Made in Abyss,8.62,842287,101.0,90,1562173,48026,13.0,TV,Web manga,Finished Airing,2017.0,summer,R - 17+ (violence & profanity),25 min per ep,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Gore,,Kinema Citrus,"AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Investment, Kadokawa, Global Solutions, IRMA LA DOUCE",Sentai Filmworks
Link Click Season 2,8.62,82096,102.0,1587,175050,2183,12.0,ONA,Original,Finished Airing,,,R - 17+ (violence & profanity),24 min per ep,"Drama, Mystery, Suspense","Adult Cast, Super Power, Time Travel",,LAN Studio,"bilibili, BeDream",
Lord of Mysteries,8.61,80454,103.0,1311,215961,4545,13.0,ONA,Web novel,Finished Airing,,,R - 17+ (violence & profanity),35 min per ep,"Action, Fantasy, Mystery, Suspense","Adult Cast, Isekai",,B.CMAY PICTURES,"Tencent Video, China Literature Limited",
Haikyu!! 2nd Season,8.61,1033121,104.0,88,1575473,16142,25.0,TV,Manga,Finished Airing,2015.0,fall,PG-13 - Teens 13 or older,24 min per ep,Sports,"School, Team Sports",Shounen,Production I.G,"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Sentai Filmworks
Fighting Spirit: Rising,8.61,165140,105.0,937,301272,1441,25.0,TV,Manga,Finished Airing,2013.0,fall,PG-13 - Teens 13 or older,22 min per ep,Sports,Combat Sports,Shounen,"Madhouse, MAPPA","VAP, Kodansha, Nippon Television Network",
Jujutsu Kaisen: The Culling Game Part 1,8.61,263220,106.0,481,532128,4176,12.0,TV,Manga,Finished Airing,2026.0,winter,R - 17+ (violence & profanity),23 min per ep,"Action, Supernatural",,Shounen,MAPPA,"Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Toho Music, Sumzap",
