title,score,scored_by,rank,popularity,members,favorites,episodes,type,source,status,year,season,rating,duration,genres,themes,demographics,studios,producers,licensors
Heavenly Delusion,8.2,296134,453.0,392,637840,7875,13.0,TV,Manga,Finished Airing,2023.0,spring,R - 17+ (violence & profanity),23 min per ep,"Adventure, Mystery, Sci-Fi",,Seinen,Production I.G,"Mainichi Broadcasting System, Kodansha, NBCUniversal Entertainment Japan, Avex Pictures, NetEase",
xxxHOLiC◆Kei,8.2,70392,454.0,1730,156221,675,13.0,TV,Manga,Finished Airing,2008.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Drama, Mystery, Supernatural",,Seinen,Production I.G,"TBS, BMG Japan, Kids Station, Kodansha, Movic, Fonishia",
My Teen Romantic Comedy SNAFU TOO!,8.2,751261,454.0,146,1169563,16243,13.0,TV,Light novel,Finished Airing,2015.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Romance","Love Polygon, School",,feel.,"TBS, Movic, Delfi Sound, Marvelous AQL, NBCUniversal Entertainment Japan",Sentai Filmworks
Asobi Asobase: Workshop of Fun,8.19,253017,456.0,475,538260,7376,12.0,TV,Manga,Finished Airing,2018.0,summer,PG-13 - Teens 13 or older,23 min per ep,Comedy,"Gag Humor, School",Seinen,Lerche,"Hakusensha, AT-X, Sony Music Communications, Kadokawa Media House, Kadokawa",
Bungo Stray Dogs 3,8.19,380069,457.0,335,713793,5100,12.0,TV,Manga,Finished Airing,2019.0,spring,R - 17+ (violence & profanity),23 min per ep,"Action, Mystery","Adult Cast, Detective, Organized Crime, Super Power",Seinen,Bones,"WOWOW, Lantis, Movic, Bandai Namco Live Creative, Sony Music Entertainment, Glovision, Kadokawa Media House, Kadokawa, Bandai Namco Arts",Funimation
Cardcaptor Sakura,8.19,234965,458.0,540,488274,14888,70.0,TV,Manga,Finished Airing,1998.0,spring,PG - Children,25 min per ep,"Adventure, Comedy, Drama, Romance","Mahou Shoujo, School",Shoujo,Madhouse,"NHK, Kodansha, Sogo Vision","Nelvana, NIS America, Geneon Entertainment USA"
Girls und Panzer das Finale – Part 3,8.19,17024,459.0,3698,48505,125,1.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,48 min,,"CGDCT, Military, School",,Actas,"Bandai Visual, Lantis, Movic, Q-Tec, Hakuhodo DY Music & Pictures",Sentai Filmworks
Great Pretender,8.19,359458,460.0,309,752949,10543,23.0,TV,Original,Finished Airing,2020.0,summer,R - 17+ (violence & profanity),23 min per ep,"Action, Adventure, Mystery","Adult Cast, Organized Crime",,Wit Studio,"Production I.G, Fuji TV, BS Fuji, TOHO animation, Hakuhodo DY Media Partners","Netflix, Anime Limited"
Hunter x Hunter: Greed Island,8.19,92778,461.0,1525,183164,326,8.0,OVA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,23 min per ep,"Action, Adventure, Fantasy",,Shounen,Nippon Animation,,
Made in Abyss: Journey's Dawn,8.19,61316,462.0,1669,164379,272,1.0,Movie,Web manga,Finished Airing,,,R - 17+ (violence & profanity),1 hr 59 min,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Gore,,Kinema Citrus,"AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Investment, Kadokawa, Global Solutions, IRMA LA DOUCE",Sentai Filmworks
One Piece: Episode of Merry - The Tale of One More Friend,8.19,34789,463.0,2757,81246,82,1.0,TV Special,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 46 min,"Action, Adventure, Fantasy",,Shounen,Toei Animation,Fuji TV,
The Case Study of Vanitas Part 2,8.19,152756,464.0,801,348754,2942,12.0,TV,Manga,Finished Airing,2022.0,winter,R - 17+ (violence & profanity),23 min per ep,"Action, Fantasy, Mystery","Historical, Urban Fantasy, Vampire",Shounen,Bones,"Aniplex, Square Enix, Hakuhodo DY Music & Pictures, Contents Seed",Funimation
A Will Eternal 2nd Season,8.19,3175,465.0,7420,9664,106,54.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,19 min per ep,"Action, Adventure, Fantasy","Historical, Martial Arts",,B.CMAY PICTURES,Tencent Video,
The Tatami Time Machine Blues,8.19,16099,466.0,3124,65532,351,6.0,ONA,Novel,Finished Airing,,,PG-13 - Teens 13 or older,20 min per ep,"Comedy, Mystery, Romance, Suspense","Adult Cast, Psychological, Time Travel",,Science SARU,"Dentsu, Fuji TV, TOHO, Asmik Ace, Fujipacific Music, Kadokawa, Tohan Corporation",
A Sign of Affection,8.19,164062,467.0,784,353264,4702,12.0,TV,Manga,Finished Airing,2024.0,winter,PG-13 - Teens 13 or older,23 min per ep,Romance,Adult Cast,Shoujo,Ajia-do,"Mainichi Broadcasting System, Kodansha, NBCUniversal Entertainment Japan, Tokyo MX, Crunchyroll, TO Books, Myrica Music, NetEase",
Welcome to the Ballroom,8.18,160885,468.0,759,364506,3791,24.0,TV,Manga,Finished Airing,2017.0,summer,PG-13 - Teens 13 or older,24 min per ep,Sports,Performing Arts,Shounen,Production I.G,"Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Movic, Bandai Namco Games, Toy's Factory, Animatic",Ponycan USA
Black Lagoon: The Second Barrage,8.18,343482,469.0,435,578313,3391,12.0,TV,Manga,Finished Airing,2006.0,fall,R - 17+ (violence & profanity),23 min per ep,Action,"Adult Cast, Organized Crime",Seinen,Madhouse,"Geneon Entertainment, Arts Pro","Funimation, Geneon Entertainment USA"
Digimon Adventure: Last Evolution Kizuna,8.18,22497,470.0,3191,63360,349,1.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 34 min,"Action, Adventure, Comedy, Drama",,,Yumeta Company,Toei Animation,Shout! Factory
Fate/stay night [Unlimited Blade Works],8.18,734895,471.0,143,1181755,17524,12.0,TV,Visual novel,Finished Airing,2014.0,fall,R - 17+ (violence & profanity),28 min per ep,"Action, Fantasy",Urban Fantasy,,ufotable,"Aniplex, Notes, Studio Mausu",Aniplex of America
Legend of the Galactic Heroes: Die Neue These - Stellar War Part 2,8.18,15215,472.0,4054,41541,60,4.0,Movie,Novel,Finished Airing,,,R - 17+ (violence & profanity),25 min per ep,"Drama, Sci-Fi","Adult Cast, Military, Space",,Production I.G,Shochiku,
Honey and Clover II,8.18,56556,473.0,2074,124814,963,12.0,TV,Manga,Finished Airing,2006.0,summer,PG-13 - Teens 13 or older,23 min per ep,"Drama, Romance","Adult Cast, Love Polygon, Visual Arts",Josei,J.C.Staff,"Dentsu, Genco, Fuji TV, Asmik Ace, Sony Music Entertainment, Shueisha","VIZ Media, Discotek Media"
Horimiya,8.18,1009353,474.0,79,1658977,40292,13.0,TV,Manga,Finished Airing,2021.0,winter,PG-13 - Teens 13 or older,23 min per ep,Romance,School,Shounen,CloverWorks,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Kanetsu Investment, My Theater D.D., Global Solutions, Mirai-Kojo",Funimation
Initial D Fourth Stage,8.18,120314,475.0,1308,216659,1446,24.0,TV,Manga,Finished Airing,2004.0,spring,PG-13 - Teens 13 or older,27 min per ep,"Action, Drama",Racing,Seinen,A.C.G.T.,OB Planning,Funimation
K-ON! Season 2,8.18,416133,476.0,307,758240,15470,26.0,TV,4-koma manga,Finished Airing,2010.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Award Winning, Comedy","CGDCT, Music, School",,Kyoto Animation,"Pony Canyon, TBS, Movic, Rakuonsha, Animation Do",Sentai Filmworks
Botan Kamiina Fully Blossoms When Drunk,8.18,12930,477.0,3610,50349,493,12.0,TV,Web manga,Finished Airing,2026.0,spring,PG-13 - Teens 13 or older,23 min per ep,"Girls Love, Gourmet, Slice of Life","Adult Cast, CGDCT",,Soigne,"Aniplex, Movic, Magic Capsule, Tokyo MX, Akita Shoten, BS11, AbemaTV, Yostar, Sankyo, Seibu Railway",
Major S2,8.18,47904,478.0,2844,76837,313,26.0,TV,Manga,Finished Airing,2006.0,winter,PG-13 - Teens 13 or older,25 min per ep,Sports,Team Sports,Shounen,Studio Hibari,"NHK, NHK Enterprises, Shogakukan Productions",
Major S4,8.18,42996,479.0,3016,69862,193,26.0,TV,Manga,Finished Airing,2008.0,winter,PG-13 - Teens 13 or older,24 min per ep,Sports,Team Sports,Shounen,SynergySP,"NHK, NHK Enterprises, Shogakukan Productions",
Case Closed,8.18,170652,480.0,729,379478,16163,,TV,Manga,Currently Airing,1996.0,winter,PG-13 - Teens 13 or older,24 min,"Adventure, Comedy, Mystery",Detective,Shounen,TMS Entertainment,"Yomiuri Telecasting, Shogakukan, Audio Planning U, Tokyo Movie, Polydor Records, Zet","Funimation, Crunchyroll"
Natsume's Book of Friends: The Waking Rock and the Strange Visitor,8.18,13981,482.0,3489,53877,112,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,51 min,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,Shuka,"Aniplex, Ai Addiction",
Detective Conan Movie 20: The Darkest Nightmare,8.18,26184,482.0,3757,47403,106,1.0,Movie,Manga,Finished Airing,,,G - All Ages,1 hr 52 min,"Action, Mystery",Detective,Shounen,TMS Entertainment,,Discotek Media
Megalobox 2: Nomad,8.18,92467,483.0,1234,231459,2261,13.0,TV,Original,Finished Airing,2021.0,spring,R - 17+ (violence & profanity),24 min per ep,"Sci-Fi, Sports","Adult Cast, Combat Sports",,TMS Entertainment,"Kodansha, Tohokushinsha Film Corporation, Bandai Namco Arts",Funimation
Non Non Biyori Repeat,8.18,107667,484.0,1320,214459,1268,12.0,TV,Manga,Finished Airing,2015.0,summer,PG-13 - Teens 13 or older,23 min per ep,Slice of Life,"CGDCT, Iyashikei, School",Seinen,SILVER LINK.,"TV Tokyo, Lantis",Sentai Filmworks
Sasaki and Miyano,8.18,109471,485.0,1188,240325,5709,12.0,TV,Web manga,Finished Airing,2022.0,winter,PG-13 - Teens 13 or older,23 min per ep,Boys Love,"Otaku Culture, School",,Studio Deen,"Frontier Works, Movic, Nippon Columbia, Sound Team Don Juan, TV Aichi, Kadokawa Media House, U-NEXT, BS NTV, Kadokawa",
Gurren Lagann The Movie: Childhood's End,8.18,90506,486.0,1446,193599,479,1.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 52 min,Sci-Fi,Mecha,,Gainax,Aniplex,Aniplex of America
xxxHOLiC Rou,8.18,34480,487.0,2652,86485,196,2.0,OVA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,34 min per ep,"Drama, Mystery, Supernatural",,Seinen,Production I.G,"Kodansha, Fonishia",
Aria the Natural,8.17,32175,488.0,2655,86341,836,26.0,TV,Manga,Finished Airing,2006.0,spring,G - All Ages,24 min per ep,"Sci-Fi, Slice of Life",Iyashikei,Shounen,HAL Film Maker,"TV Tokyo, Shochiku, Mag Garden",Nozomi Entertainment
Bakuman.,8.17,311702,489.0,373,660093,9679,25.0,TV,Manga,Finished Airing,2010.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Drama, Romance",Otaku Culture,Shounen,J.C.Staff,"NHK, Shueisha",Media Blasters
Chihayafuru,8.17,195760,490.0,528,498347,8459,25.0,TV,Manga,Finished Airing,2011.0,fall,PG-13 - Teens 13 or older,22 min per ep,"Drama, Romance, Sports","Love Polygon, School, Strategy Game",Josei,Madhouse,"VAP, Nippon Television Network",Sentai Filmworks
Hell's Paradise Season 2,8.17,144920,491.0,686,397861,3060,12.0,TV,Manga,Finished Airing,2026.0,winter,R - 17+ (violence & profanity),24 min per ep,"Action, Adventure, Supernatural","Gore, Historical, Samurai",Shounen,MAPPA,"Fujipacific Music, Twin Engine, dugout",
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.17,37184,492.0,2909,74206,214,1.0,OVA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,12 min,"Comedy, Romance, Supernatural",Mythology,Shoujo,TMS Entertainment,,
Mobile Suit Gundam: The Origin - Advent of the Red Comet,8.17,12785,493.0,4796,28635,143,13.0,TV,Manga,Finished Airing,2019.0,spring,PG-13 - Teens 13 or older,25 min per ep,Sci-Fi,"Mecha, Military, Space",Shounen,Sunrise,Sunrise Music,
Black Butler: Emerald Witch Arc,8.17,26827,494.0,2866,75648,570,13.0,TV,Manga,Finished Airing,2025.0,spring,R - 17+ (violence & profanity),23 min per ep,"Action, Mystery, Supernatural","Historical, Mythology",Shounen,CloverWorks,"Aniplex, Square Enix, Magic Capsule, Crunchyroll",
Little Busters! ~Refrain~,8.17,81370,495.0,1576,177192,2152,13.0,TV,Visual novel,Finished Airing,2013.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Drama, Romance",School,,J.C.Staff,"Warner Bros. Japan, Showgate",Sentai Filmworks
One Piece: Stampede,8.17,137450,496.0,1272,223321,689,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 41 min,"Action, Adventure, Fantasy",,Shounen,Toei Animation,,Funimation
The King's Avatar (2018),8.17,57451,497.0,2221,112977,347,3.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,27 min per ep,Action,Video Game,,Colored Pencil Animation,"Tencent Animation & Comics, Tencent Video, China Literature Limited, Colored Pencil Animation Japan",
Rascal Does Not Dream of Santa Claus,8.17,74171,498.0,1279,221453,1148,13.0,TV,Light novel,Finished Airing,2025.0,summer,PG-13 - Teens 13 or older,24 min per ep,"Drama, Romance, Supernatural",School,,CloverWorks,"Aniplex, Half H.P Studio, Tokyo MX, Nagoya Broadcasting Network, BS11, ABC Animation, Kadokawa",
My Dress-Up Darling Season 2,8.17,219268,499.0,541,487237,4589,12.0,TV,Manga,Finished Airing,2025.0,summer,PG-13 - Teens 13 or older,23 min per ep,Romance,"Otaku Culture, School",Seinen,CloverWorks,"Aniplex, Square Enix, Movic, Studio Mausu, Tokyo MX, BS11",
Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.17,4278,500.0,6396,13868,82,1.0,Movie,Original,Finished Airing,,,G - All Ages,57 min,Slice of Life,"CGDCT, Iyashikei",,TYO Animations,"Shochiku, flying DOG",
Moriarty the Patriot,8.17,212163,502.0,517,512141,8413,11.0,TV,Manga,Finished Airing,2020.0,fall,R - 17+ (violence & profanity),23 min per ep,"Mystery, Suspense","Adult Cast, Historical, Organized Crime, Psychological",Shounen,Production I.G,"Mainichi Broadcasting System, Shueisha, Yomiuri TV Enterprise, Bandai Namco Arts, Bandai Spirits",Funimation
Bungo Stray Dogs 2,8.16,547170,504.0,210,958223,6844,12.0,TV,Manga,Finished Airing,2016.0,fall,R - 17+ (violence & profanity),23 min per ep,"Action, Mystery","Adult Cast, Detective, Organized Crime, Super Power",Seinen,Bones,"Lantis, Movic, KlockWorx, Bandai Namco Live Creative, Glovision, Lawson HMV Entertainment, Sony PCL, Kadokawa","Funimation, Crunchyroll"
Higurashi: When They Cry – Kai,8.16,268514,505.0,495,522374,7708,24.0,TV,Visual novel,Finished Airing,2007.0,summer,R - 17+ (violence & profanity),24 min per ep,"Horror, Mystery, Suspense","Gore, Psychological",,Studio Deen,"Frontier Works, Sotsu, Movic",Sentai Filmworks
Lupin III: The Castle of Cagliostro,8.16,79339,506.0,1906,139031,1511,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 39 min,"Action, Adventure, Award Winning, Comedy, Mystery",Adult Cast,Seinen,"Tokyo Movie Shinsha, Telecom Animation Film",,"Discotek Media, Manga Entertainment, Streamline Pictures"
"No Game, No Life: Zero",8.16,512111,507.0,213,954196,8020,1.0,Movie,Light novel,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 46 min,"Drama, Fantasy, Romance",Isekai,,Madhouse,"Frontier Works, Movic, AT-X, Kadokawa",Sentai Filmworks
Ouran High School Host Club,8.16,732952,508.0,136,1236895,37418,26.0,TV,Manga,Finished Airing,2006.0,spring,PG-13 - Teens 13 or older,23 min per ep,"Comedy, Romance","Crossdressing, Reverse Harem, School",Shoujo,Bones,"VAP, Hakusensha, Nippon Television Network, Fonishia",Funimation
GaoGaiGar Final,8.16,5105,510.0,6574,12940,202,8.0,OVA,Original,Finished Airing,,,PG-13 - Teens 13 or older,32 min per ep,"Adventure, Drama, Sci-Fi","Mecha, Super Power",,Sunrise,,Discotek Media
Aoashi,8.15,132616,510.0,1089,260559,3497,24.0,TV,Manga,Finished Airing,2022.0,spring,PG-13 - Teens 13 or older,24 min per ep,Sports,Team Sports,Seinen,Production I.G,"Shogakukan-Shueisha Productions, Marvelous Entertainment, NHK Enterprises, Bandai Spirits",Crunchyroll
Blue Box,8.15,158839,511.0,823,342242,4589,25.0,TV,Manga,Finished Airing,2024.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Romance, Sports","Love Polygon, School, Team Sports",Shounen,Telecom Animation Film,"TBS, Magic Capsule, TOHO animation, Shueisha, TMS Music, Unlimited Produce by TMS",
Dr. Stone: Stone Wars,8.15,692998,513.0,138,1214015,7598,11.0,TV,Manga,Finished Airing,2021.0,winter,PG-13 - Teens 13 or older,24 min per ep,"Adventure, Comedy",,Shounen,TMS Entertainment,"TOHO animation, Shueisha, Toho Music, 8PAN",Funimation
The Demon Hunter,8.15,2193,513.0,9206,5585,70,26.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,23 min per ep,"Action, Adventure, Fantasy","Historical, Martial Arts",,Shenman Entertainment,"Youku, Tianshi Wenhua",
Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,8.15,687145,514.0,159,1129551,9809,11.0,TV,Manga,Finished Airing,2023.0,spring,R - 17+ (violence & profanity),28 min per ep,"Action, Supernatural",Historical,Shounen,ufotable,"Aniplex, Shueisha",Aniplex of America
Solo Leveling,8.15,721674,515.0,148,1160329,20191,12.0,TV,Web manga,Finished Airing,2024.0,winter,R - 17+ (violence & profanity),23 min per ep,"Action, Adventure, Fantasy","Adult Cast, Urban Fantasy",,A-1 Pictures,"Aniplex, Crunchyroll, Netmarble, Kakao piccoma, D&C Media",
Princess Tutu,8.15,70693,516.0,1501,186219,5475,38.0,TV,Original,Finished Airing,2002.0,summer,PG-13 - Teens 13 or older,16 min per ep,"Drama, Mystery, Romance","Anthropomorphic, Love Polygon, Mahou Shoujo, Performing Arts",,HAL Film Maker,"Starchild Records, Memory-Tech, GANSIS, Marvelous AQL, Omnibus Promotion","ADV Films, Sentai Filmworks"
The Fable,8.15,41786,517.0,2233,111429,869,25.0,TV,Manga,Finished Airing,2024.0,spring,R - 17+ (violence & profanity),22 min per ep,"Comedy, Suspense","Adult Cast, Organized Crime",Seinen,Tezuka Productions,"VAP, Kodansha, Nippon Television Network, Audio Planning U",
Black Clover,8.14,993071,518.0,54,1917600,51371,170.0,TV,Manga,Finished Airing,2017.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Action, Fantasy",,Shounen,Studio Pierrot,"TV Tokyo, Avex Pictures, Shueisha","Funimation, Crunchyroll"
My Hero Academia Season 7,8.14,235386,519.0,535,493222,3116,21.0,TV,Manga,Finished Airing,2024.0,spring,PG-13 - Teens 13 or older,23 min per ep,Action,"School, Super Power",Shounen,Bones,"Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Crunchyroll
Dr. Stone: New World,8.14,299124,520.0,410,615283,3370,11.0,TV,Manga,Finished Airing,2023.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Adventure, Comedy",,Shounen,TMS Entertainment,"TOHO animation, Shueisha",Crunchyroll
Fate/stay night: Heaven's Feel - I. Presage Flower,8.14,288235,521.0,498,520862,2690,1.0,Movie,Visual novel,Finished Airing,,,R - 17+ (violence & profanity),2 hr,"Action, Fantasy",Urban Fantasy,,ufotable,"Aniplex, Notes, Kadokawa",Aniplex of America
Fate/strange Fake: Whispers of Dawn,8.14,67993,522.0,2060,125801,396,1.0,TV Special,Light novel,Finished Airing,,,R - 17+ (violence & profanity),55 min,"Action, Fantasy",Urban Fantasy,,A-1 Pictures,"Aniplex, Notes",Aniplex of America
Golden Kamuy Season 4,8.14,49050,523.0,2078,124269,650,13.0,TV,Manga,Finished Airing,2022.0,fall,R - 17+ (violence & profanity),23 min per ep,"Action, Adventure","Adult Cast, Historical, Military",Seinen,Brain's Base,"NBCUniversal Entertainment Japan, Tokyo MX, Good Smile Company, Sammy, Shueisha, JR East Marketing & Communications, Twin Engine",
Holo Graffiti,8.14,17860,524.0,3326,58502,1845,,ONA,Other,Currently Airing,,,PG-13 - Teens 13 or older,1 min,Comedy,,,Hololive Production,,
The Wind Rises,8.14,222431,526.0,706,390024,4042,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,2 hr 6 min,"Award Winning, Drama, Romance",Historical,,Studio Ghibli,Nichion,Disney Platform Distribution
KonoSuba: God's Blessing on This Wonderful World! 3 OVA,8.14,35976,527.0,2684,84921,109,2.0,OVA,Light novel,Finished Airing,,,PG-13 - Teens 13 or older,25 min per ep,"Adventure, Comedy, Fantasy","Isekai, Parody",,Drive,"Half H.P Studio, Nippon Columbia, Atelier Musa, 81 Produce, Sammy, Kadokawa",
Lycoris Recoil,8.14,293263,529.0,419,601025,9887,13.0,TV,Original,Finished Airing,2022.0,summer,PG-13 - Teens 13 or older,24 min per ep,Action,,,A-1 Pictures,"Aniplex, BS11, ABC Animation",Aniplex of America
Kotaro Lives Alone,8.14,111258,529.0,1357,208572,2340,10.0,ONA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,26 min per ep,Slice of Life,Childcare,Seinen,LIDENFILMS,,
Major: Message,8.14,18654,531.0,3916,44328,62,1.0,OVA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,24 min,Sports,Team Sports,Shounen,SynergySP,,
Noragami Aragoto,8.14,948295,532.0,92,1561903,11627,13.0,TV,Manga,Finished Airing,2015.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Action, Supernatural",Mythology,Shounen,Bones,"Dentsu, Shochiku, Kodansha, Ai Addiction, Avex Pictures, A-Sketch",Funimation
Non Non Biyori Nonstop: Our Club Worked Hard,8.14,12741,532.0,4152,39373,30,1.0,OVA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,22 min,Slice of Life,"CGDCT, Iyashikei",Seinen,SILVER LINK.,,Sentai Filmworks
Stand By Me Doraemon,8.14,44159,534.0,3159,64305,238,1.0,Movie,Manga,Finished Airing,,,PG - Children,1 hr 34 min,"Comedy, Sci-Fi",,"Kids, Shounen","Shirogumi, Shin-Ei Animation","TOHO, Robot Communications",
A Certain Scientific Railgun T,8.14,104001,535.0,1061,267651,3319,25.0,TV,Manga,Finished Airing,2020.0,winter,R - 17+ (violence & profanity),24 min per ep,"Action, Fantasy, Sci-Fi","Super Power, Urban Fantasy",,J.C.Staff,"Square Enix, Movic, AT-X, Warner Bros. Japan, NBCUniversal Entertainment Japan, Kadokawa",Funimation
Sentenced to Be a Hero,8.14,143519,535.0,853,333377,1759,12.0,TV,Light novel,Finished Airing,2026.0,winter,R - 17+ (violence & profanity),27 min per ep,"Action, Adventure, Fantasy",,,Studio KAI,"Sammy, Kansai TV, Bit grooove promotion",
Death Parade,8.13,1087058,536.0,52,1926913,29727,12.0,TV,Original,Finished Airing,2015.0,winter,R - 17+ (violence & profanity),23 min per ep,"Drama, Fantasy, Suspense","Adult Cast, High Stakes Game, Psychological",,Madhouse,"VAP, DAX Production, Nippon Television Network",Funimation
Pompo: The Cinéphile,8.13,22557,538.0,3022,69396,565,1.0,Movie,Web manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 34 min,"Comedy, Drama",Showbiz,,CLAP,"Shochiku, Movic, Studio Mausu, Avex Pictures, Kadokawa, Happinet Phantom Studios, Movie Walker",GKIDS
Keep Your Hands Off Eizouken!,8.13,150156,539.0,747,371889,4581,12.0,TV,Manga,Finished Airing,2020.0,winter,PG-13 - Teens 13 or older,25 min per ep,"Adventure, Award Winning, Comedy","Otaku Culture, School",Seinen,Science SARU,"Warner Bros. Japan, Warner Music Japan, Shogakukan, NHK Enterprises",Sentai Filmworks
given - on the other hand,8.13,46370,541.0,2362,103595,786,1.0,OVA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,22 min,"Boys Love, Drama","Music, School",,Lerche,Blue Lynx,
Hidamari Sketch: Sae & Hiro Graduation,8.13,7227,542.0,5940,16911,38,2.0,OVA,4-koma manga,Finished Airing,,,PG-13 - Teens 13 or older,23 min per ep,Slice of Life,"CGDCT, Iyashikei, School, Visual Arts",,Shaft,"Aniplex, Lantis, TBS, Movic, Houbunsha",Sentai Filmworks
IDOLiSH7 Second BEAT!,8.13,13084,543.0,4309,36422,433,15.0,TV,Game,Finished Airing,2020.0,spring,PG-13 - Teens 13 or older,24 min per ep,Drama,"Idols (Male), Music",,TROYCA,"Bandai Visual, Lantis, Bandai Namco Games",
Kamisama Kiss,8.13,376243,544.0,321,733871,17584,13.0,TV,Manga,Finished Airing,2012.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Romance, Supernatural",Mythology,Shoujo,TMS Entertainment,"TV Tokyo, Dentsu, Sotsu, Pony Canyon, Hakusensha, DAX Production",Funimation
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,8.13,47960,544.0,2725,83141,1105,1.0,Movie,Music,Finished Airing,,,G - All Ages,1 hr 5 min,"Adventure, Drama, Sci-Fi","Adult Cast, Music",,Toei Animation,EMI,
Beyond the Boundary: I'll Be Here - Future,8.13,144671,546.0,961,294213,1080,1.0,Movie,Light novel,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 30 min,"Action, Romance, Supernatural",School,,Kyoto Animation,Shochiku,Sentai Filmworks
Lupin the Third Part 5,8.13,18295,547.0,3661,49209,414,24.0,TV,Manga,Finished Airing,2018.0,spring,PG-13 - Teens 13 or older,22 min per ep,"Action, Adventure, Comedy, Mystery",Adult Cast,Seinen,Telecom Animation Film,"Nippon Television Network, TMS Music",Discotek Media
Welcome to Demon School! Iruma-kun Season 4,8.13,9563,548.0,2737,82242,342,24.0,TV,Manga,Currently Airing,2026.0,spring,PG-13 - Teens 13 or older,25 min per ep,"Comedy, Fantasy",School,Shounen,Bandai Namco Pictures,,
The Master of Diabolism Q,8.13,10458,550.0,4841,28067,250,30.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,5 min per ep,"Comedy, Fantasy","Historical, Mythology, Reincarnation",,B.CMAY PICTURES,Tencent Video,
Nodame Cantabile: Paris-hen,8.13,77974,551.0,1995,130861,293,11.0,TV,Manga,Finished Airing,2008.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Comedy, Romance","Adult Cast, Music, Performing Arts",Josei,J.C.Staff,"Dentsu, Genco, SKY Perfect Well Think, Kodansha, Fuji TV, Asmik Ace, Sony Music Entertainment",
Spice and Wolf: Merchant Meets the Wise Wolf,8.13,87344,552.0,1073,265133,2314,25.0,TV,Light novel,Finished Airing,2024.0,spring,PG-13 - Teens 13 or older,23 min per ep,"Adventure, Drama, Romance, Supernatural",Adult Cast,,Passione,"TV Tokyo, Movic, TOHO animation, Good Smile Company, Kadokawa, Enishiya, Hayabusa Film",Crunchyroll
My Dress-Up Darling,8.13,824059,553.0,114,1345199,24062,12.0,TV,Manga,Finished Airing,2022.0,winter,PG-13 - Teens 13 or older,23 min per ep,Romance,"Otaku Culture, School",Seinen,CloverWorks,"Aniplex, Square Enix, Movic, Studio Mausu, Tokyo MX, BS11",
Precure All Stars Movie F,8.13,1638,553.0,9735,4806,45,1.0,Movie,Original,Finished Airing,,,G - All Ages,1 hr 12 min,Action,Mahou Shoujo,,Toei Animation,,
