country,year,reporting_level,welfare_type,headcount_ratio_international_povline,headcount_ratio_lower_mid_income_povline,headcount_ratio_upper_mid_income_povline,headcount_ratio_100,headcount_ratio_1000,headcount_ratio_2000,headcount_ratio_3000,headcount_ratio_4000,headcount_ratio_40_median,headcount_ratio_50_median,headcount_ratio_60_median,headcount_international_povline,headcount_lower_mid_income_povline,headcount_upper_mid_income_povline,headcount_100,headcount_1000,headcount_2000,headcount_3000,headcount_4000,headcount_40_median,headcount_50_median,headcount_60_median,poverty_gap_index_international_povline,poverty_gap_index_lower_mid_income_povline,poverty_gap_index_upper_mid_income_povline,poverty_gap_index_100,poverty_gap_index_1000,poverty_gap_index_2000,poverty_gap_index_3000,poverty_gap_index_4000,mean,median,decile1_avg,decile10_avg,decile1_share,decile2_share,decile3_share,decile4_share,decile5_share,decile6_share,decile7_share,decile8_share,decile9_share,decile10_share,decile1_thr,decile2_thr,decile3_thr,decile4_thr,decile6_thr,decile7_thr,decile8_thr,decile9_thr,gini,palma_ratio,p90_p10_ratio,p90_p50_ratio,p50_p10_ratio
Italy,1998,national,income,1.7424412615559202,2.23880631058707,3.49846517439574,1.4905977870903702,8.96438052104555,28.749243760940367,53.73189171005747,72.98457442590772,10.99596376005508,15.725108300766848,22.22030014122544,991567.0,1274032.0,1990863.0,848251.0,5101337.0,16360259.0,30577070.0,41533145.0,6257445.0,8948647.0,12644849.0,1.38493510129373,1.59755079452892,2.16710900243638,1.21250026112493,3.83740948792737,10.99880534247385,21.286515599731707,31.99390829629749,33.86560376391944,28.22433129310516,6.251054557524021,93.50590810856716,1.8458417576431696,4.01438127354472,5.37939304726556,6.55952759763949,7.75370516419812,9.00246598824356,10.42006885345188,12.29551340917344,15.1182241067356,27.61087880210444,10.76,15.98,20.56,24.04,32.85,38.1,45.65,58.5,0.366607868563616,1.5512475939609505,5.436802973977695,2.0729978738483346,2.6226765799256504
Italy,2000,national,income,1.24951702619588,1.74531770953664,2.99208890504011,1.24951702619588,7.21413606263632,27.469944339309787,51.99853562870286,70.99400026433132,10.19769102874684,15.24907059141844,21.49276425043993,711501.0,993821.0,1703758.0,711501.0,4107881.0,15641965.0,29609062.0,40425480.0,5806780.0,8683142.0,12238433.0,1.11810890640457,1.21502375395551,1.65953340859871,0.9998415985924,3.05454230772148,9.75206730492037,19.89814872328477,30.384852350658807,34.515992001061896,29.13247044065687,7.209030955905848,90.95145249466316,2.08860604547714,4.18641056986324,5.49597910293303,6.61036197742397,7.814462832134581,9.13128267557159,10.59974954215198,12.40685407927325,15.31576774572235,26.35052542944877,11.52,16.7,20.96,24.94,34.05,39.45,46.7,60.3,0.3525280984423746,1.4335461974942565,5.234375,2.0764462809917354,2.520833333333333
Italy,2003,national,income,0.76940329621255,1.08928744526715,1.8288773203968,0.5299401956004101,4.36677381966544,17.63166666459773,39.09132705481091,58.34733841524823,8.372366769428451,13.52990679999501,20.29652849405483,440970.0,624306.0,1048188.0,303726.0,2502738.0,10105273.0,22404492.0,33440729.0,4798472.0,7754423.0,11632591.0,0.54145547368892,0.7048299123742899,1.02578327509739,0.42820165661387,1.9164070599591896,5.9334742760474,13.42096273500161,22.31935288526542,42.39260345076179,35.4959986117798,9.785097896609289,113.12904849828138,2.30820876759185,4.36072146935946,5.53547560086512,6.609168390758639,7.7558498404871,9.00420301408536,10.3837897085803,12.24888198451314,15.1076665645103,26.68603465924867,15.52,21.1,25.74,30.4,41.0,47.6,56.8,73.3,0.3493130855082459,1.4184457634167398,4.722938144329897,2.064788732394366,2.2873711340206184
Italy,2004,national,income,0.60452063302,0.93455460791369,1.48393733312037,0.51913356909873,3.80638018426493,16.1649650496583,36.66378268048901,55.96589895732771,8.16303827924205,13.33060281646238,19.98115211541934,348720.0,539101.0,856014.0,299464.0,2195723.0,9324813.0,21149623.0,32284112.0,4708875.0,7689802.0,11526193.0,0.48912270961993,0.61325782154523,0.8593169055469301,0.40975662296192,1.57432898241894,5.26505163826631,12.23797877178833,20.8140503896257,43.61252879919263,36.72112864637654,10.543098738333995,114.77317061888762,2.41744724019057,4.4321996082377,5.61015778141635,6.698889696683439,7.838874175838479,9.05159102471244,10.43435925631405,12.20835970616071,14.991562076953093,26.31655943349296,16.24,22.04,26.82,31.65,42.25,49.15,58.0,74.75,0.3429511626302363,1.373609233748971,4.602832512315271,2.036784741144414,2.2598522167487687
Italy,2005,national,income,0.6317022207958499,1.0361054690079898,1.72383568817935,0.5143504101451101,4.03504427997674,16.9807077771651,36.64823724881205,56.15256922961993,8.48051558614399,14.09061004373339,20.63614141260373,366195.0,600625.0,999299.0,298166.0,2339094.0,9843629.0,21244794.0,32551355.0,4916111.0,8168254.0,11962665.0,0.5008812761069901,0.64060275376609,0.90493009243124,0.43952503948786,1.72426864047091,5.61413773993209,12.64997390841643,21.16904781599261,42.93708445841585,36.58376696370546,10.193373326706798,109.42527069922563,2.37402549690559,4.38727040595236,5.63033449238785,6.77458378862693,7.936747297355449,9.16125069610644,10.56050010769803,12.44477813416967,15.24548373904498,25.48502584175294,15.76,21.62,26.68,31.5,42.1,48.9,58.35,74.55,0.3383360556237444,1.329684913111173,4.730329949238579,2.03688524590164,2.3223350253807107
Italy,2006,national,income,0.65343624517972,0.94058751200184,1.40816696740377,0.49913311026072,3.55061038096988,16.026253412694132,35.48586467232368,55.48283118846573,7.837279126496361,13.41270083979986,20.36045005268079,379934.0,546895.0,818764.0,290216.0,2064466.0,9318301.0,20632894.0,32259926.0,4556906.0,7798678.0,11838376.0,0.49860395557476,0.6224028330489,0.8508670215972001,0.42268933562242,1.53288149576368,5.07260348509675,11.94039638773431,20.36556330152352,43.76569021278159,37.17326744339057,10.86648178091398,112.15975038704228,2.48287682156569,4.43861785052278,5.63920441798878,6.78594182243728,7.91566612382434,9.09116438659089,10.49617225444088,12.34948325271589,15.17354951080974,25.62732355910304,16.5,22.1,27.12,32.25,42.6,49.7,59.25,76.15,0.3369739603399531,1.3246394387009992,4.615151515151515,2.049798115746972,2.2515151515151515
Italy,2007,national,income,0.68024297448851,1.0675250208877198,1.5769958392662602,0.50888033527987,3.38882155587096,14.88175542320332,34.23330325425159,53.89170276782894,7.76161439205935,13.24171655818072,19.91103949098542,397522.0,623844.0,921570.0,297381.0,1980370.0,8696646.0,20005364.0,31493400.0,4535756.0,7738235.0,11635675.0,0.50563943076879,0.6514277175521199,0.90949385694287,0.42475934477551,1.56640395650641,4.82467896191978,11.3643014393327,19.60614985297805,44.036405529608736,37.958876742529824,11.094769747803994,109.7528664160358,2.51945398684827,4.54597407944464,5.74571412875588,6.880721035333449,8.00567065126182,9.23542164854368,10.59332249109474,12.42143626147964,15.12907386647939,24.92321185075865,17.0,22.8,27.68,32.75,43.55,50.35,59.75,75.5,0.3289073563667705,1.2656604181723674,4.441176470588236,1.989459815546772,2.2323529411764707
Italy,2008,national,income,0.6974942712404,1.03900651174347,1.6555113555322298,0.493079501173,3.97266515764572,16.01166166310783,36.41857135061397,55.24434044434871,7.89293864930244,13.36071944909672,20.53014790608948,410313.0,611214.0,973883.0,290063.0,2336989.0,9419137.0,21423855.0,32498440.0,4643158.0,7859674.0,12077215.0,0.49427355681144,0.65841908708184,0.93507722690644,0.4055950114058799,1.7149865102481,5.29452930111302,12.24823551826631,20.7052709140888,43.39845748859027,37.00505524873827,10.474982988495176,111.43001029783744,2.4136763365954,4.4584044856621,5.630798750887419,6.75866473553397,7.92118896395388,9.18436665346261,10.56228849324274,12.28335705560518,15.1112243741838,25.67603015087186,16.28,21.94,26.84,31.8,42.7,49.2,58.0,75.3,0.3377010232366898,1.3330203300107522,4.625307125307125,2.035135135135135,2.2727272727272725
Italy,2009,national,income,0.89211690360497,1.27039720555835,1.82402595293079,0.5740372133946501,4.02869508654518,15.84988487526423,35.34640391821025,54.71025702900722,8.57780794041539,13.731073729151818,20.2368253539248,527200.0,750746.0,1077915.0,339229.0,2380772.0,9366547.0,20888086.0,32331226.0,5069087.0,8114428.0,11959026.0,0.6136584413302799,0.81981297455037,1.1261117308241702,0.4839729161620599,1.90296207718286,5.46906538479824,12.12974556736371,20.43989320132931,43.876019774422936,37.38725058693522,10.136445769988269,111.5958076876239,2.31024733376048,4.41820177164584,5.6499065049712,6.79316465570024,7.9173121803666495,9.17039101425437,10.6243660310793,12.42747557682508,15.254584171832647,25.434350759564,16.22,22.26,27.36,32.2,43.3,50.05,59.7,75.95,0.3383577039072794,1.3266736495888511,4.682490752157831,2.0307486631016043,2.305795314426634
Italy,2010,national,income,1.2579888287573,1.59657325338517,2.48040887362983,0.92456262092661,5.15662274964045,17.06407315878779,36.54122866329933,56.53149525500646,9.176560104634367,14.45099851649743,20.45792308634741,745703.0,946407.0,1470322.0,548057.0,3056713.0,10115142.0,21660696.0,33510410.0,5439628.0,8566179.0,12126928.0,0.91410268189928,1.13196361209514,1.5179104615297,0.74323146849045,2.50380817012408,6.400591564290529,13.0578630337104,21.5266819778168,43.079099554926366,36.540915282912096,8.847451510724609,112.7067415305968,2.0537689046736,4.31528718970597,5.653943288026491,6.79813398649735,7.87882666138207,9.10338952259073,10.50656116591191,12.31552357660222,15.21182258903126,26.16274311557844,15.28,21.7,27.1,31.5,42.0,48.65,58.15,74.9,0.3472130832471845,1.3900726700552986,4.901832460732985,2.049247606019152,2.3920157068062826
