title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
The IdolM@ster: One for All,PS3,Simulation,Namco Bandai Games,Bandai Namco Games,,0.13,,0.13,,,2014-05-15
Wild Earth: African Safari,Wii,Simulation,Majesco,Super X Studios,,0.13,0.1,,0.02,0.01,2008-04-22
Farming Simulator 17,NS,Simulation,Focus Home Interactive,Giants Software,,0.13,0.04,,0.08,0.01,2017-11-07
Sally's Salon,DS,Simulation,Capcom,Capcom,,0.13,0.12,,,0.01,2008-11-11
Harvest Moon DS (jp sales),DS,Simulation,Natsume,TOSE,,0.13,,0.13,,,2006-09-12
Lovely Lisa and Friends,DS,Simulation,Tomy Corporation,Tomy,,0.13,0.12,,,0.01,2010-02-23
Black Dawn,PS,Simulation,Virgin Interactive,Black Ops Entertainment,,0.13,0.07,,0.05,0.01,1996-09-30
My Baby: First Steps,Wii,Simulation,SouthPeak Interactive,Nobilis,,0.13,0.12,,0.0,0.01,2009-11-03
Steel Battalion: Heavy Armor,X360,Simulation,Capcom,From Software,,0.13,0.08,0.02,0.02,0.01,2012-06-19
City Crisis,PS2,Simulation,Take-Two Interactive,Syscom Entertainment,,0.13,0.06,,0.05,0.02,2001-07-17
Littlest Pet Shop: Spring,DS,Simulation,Electronic Arts,EA Salt Lake,,0.13,0.12,,0.0,0.01,2009-03-03
History Civil War: Secret Missions,X360,Shooter,Activision,Cauldron Ltd.,,0.13,0.12,,,0.01,2008-11-04
Hour of Victory,X360,Shooter,Midway Games,Nfusion,,0.13,0.1,,0.01,0.01,2007-06-25
Jurassic: The Hunted,X360,Shooter,Activision,Activision,,0.13,0.12,,,0.01,2009-11-03
007: Quantum of Solace,DS,Action,Activision,Vicarious Visions,6.3,0.13,0.11,,0.01,0.01,2008-11-04
New Gundam Breaker,PS4,Action,Namco Bandai Games,Bandai Namco Games,2.8,0.13,0.03,0.1,,0.01,2018-06-22
Star Wars: Clone Wars,XB,Shooter,LucasArts,Pandemic Studios,,0.13,0.1,,0.03,0.0,2003-04-22
NeverDead,PS3,Shooter,Konami,Rebellion Developments,,0.13,0.06,0.01,0.04,0.02,2012-01-31
Rogue Ops,XB,Action,Kemco,Bits Studios,,0.13,0.1,,0.03,0.0,2003-10-28
Bakugan: Battle Trainer,DS,Action,Activision,Magic Pockets,,0.13,0.12,,,0.01,2010-03-23
Peter Jackson's King Kong: The Official Game of the Movie,DS,Action,Ubisoft,Ubisoft Casablanca,,0.13,0.12,,0.0,0.01,2005-11-21
"Crouching Tiger, Hidden Dragon",PS2,Action,Ubisoft,Light Weight,,0.13,0.06,,0.05,0.02,2003-10-09
Rango: The Video Game,X360,Action,Paramount Digital Entertainment,Behaviour Studios,,0.13,0.06,,0.06,0.01,2011-03-01
Destroy All Humans! Path of the Furon,X360,Action,THQ,Sandblast Games,4.1,0.13,0.08,,0.04,0.01,2008-12-02
Super Robot Wars BX,3DS,Action,Namco Bandai Games,Bandai Namco Games,,0.13,,0.13,,,2015-08-20
Last Bronx,SAT,Fighting,Sega,Sega,,0.13,,0.13,,0.0,1997-09-30
Street Fighter IV,PC,Fighting,Capcom,Capcom / Dimps Corporation,9.1,0.13,0.07,,0.05,0.02,2009-07-07
SoulCalibur II (JP weekly data),PS2,Fighting,Namco,Namco,,0.13,,0.13,,,2003-08-27
Legends of Wrestling,GC,Fighting,Acclaim Entertainment,Acclaim Studios Salt Lake City,,0.13,0.1,,0.03,0.0,2002-05-27
Legends of Wrestling II,XB,Fighting,Acclaim Entertainment,Acclaim Studios Salt Lake City,,0.13,0.09,,0.03,0.0,2002-12-05
