PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
Jrue Holiday,BOS,35.0,62,30.6,11.1,4.3,3.9,1.1,0.4,1.2,0.443,0.353,0.909,5.5,76,205,2009,1,17
Julian Champagnie,SAS,24.0,82,23.6,9.9,3.9,1.4,0.7,0.4,0.9,0.415,0.371,0.904,-0.8,79,217,Undrafted,Undrafted,Undrafted
Julian Phillips,CHI,21.0,79,14.2,4.6,2.1,0.5,0.5,0.3,0.3,0.446,0.327,0.789,0.4,80,198,2023,2,35
Julian Strawther,DEN,23.0,65,21.3,9.0,2.2,1.3,0.6,0.2,0.9,0.432,0.349,0.822,-1.1,78,205,2023,1,29
Julius Randle,MIN,30.0,69,32.3,18.7,7.1,4.7,0.7,0.2,2.8,0.485,0.344,0.806,2.4,81,250,2014,1,7
Justin Champagnie,WAS,24.0,62,21.6,8.8,5.7,1.0,1.0,0.6,0.9,0.511,0.383,0.685,-4.6,78,206,Undrafted,Undrafted,Undrafted
Justin Edwards,PHI,21.0,44,26.2,10.1,3.4,1.6,1.0,0.4,1.1,0.455,0.363,0.696,-6.4,79,203,Undrafted,Undrafted,Undrafted
Jusuf Nurkić,CHA,30.0,51,20.8,8.9,7.8,2.3,0.8,0.7,1.9,0.477,0.305,0.664,-3.6,84,290,2014,1,16
KJ Martin,UTA,24.0,43,21.2,6.4,2.9,1.1,0.4,0.5,0.6,0.552,0.259,0.787,-3.3,78,215,2020,2,52
KJ Simpson,CHA,22.0,36,23.4,7.8,3.0,3.1,0.9,0.2,1.6,0.346,0.254,0.82,-7.7,72,189,2024,2,42
Kai Jones,DAL,24.0,40,11.7,5.0,3.1,0.6,0.4,0.6,0.5,0.798,0.2,0.719,-0.5,83,221,2021,1,19
Karl-Anthony Towns,NYK,29.0,72,35.0,24.4,12.8,3.1,1.0,0.7,2.7,0.526,0.42,0.829,5.3,84,248,2015,1,1
Karlo Matković,NOP,24.0,42,18.8,7.7,5.0,1.1,0.5,1.0,1.0,0.574,0.318,0.773,-2.1,82,231,2022,2,52
Kawhi Leonard,LAC,34.0,37,31.9,21.5,5.9,3.1,1.6,0.5,1.9,0.498,0.411,0.81,8.0,79,225,2011,1,15
Keaton Wallace,ATL,26.0,31,16.2,5.4,1.6,2.6,0.9,0.3,1.1,0.401,0.329,1.0,-0.6,75,185,Undrafted,Undrafted,Undrafted
