PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
A.J. Lawson,TOR,24.0,26,18.7,9.1,3.3,1.2,0.5,0.2,0.6,0.421,0.327,0.683,-0.7,78,179,Undrafted,Undrafted,Undrafted
AJ Green,MIL,25.0,73,22.7,7.4,2.4,1.5,0.5,0.1,0.5,0.429,0.427,0.815,3.1,76,190,Undrafted,Undrafted,Undrafted
AJ Johnson,WAS,20.0,29,22.0,7.6,2.0,2.6,0.4,0.1,1.2,0.385,0.267,0.865,-5.2,77,160,2024,1,23
Aaron Gordon,DEN,29.0,51,28.4,14.7,4.8,3.2,0.5,0.3,1.4,0.531,0.436,0.81,5.9,80,235,2014,1,4
Aaron Holiday,HOU,28.0,62,12.8,5.5,1.3,1.3,0.3,0.2,0.6,0.437,0.398,0.829,1.4,72,185,2018,1,23
Aaron Nesmith,IND,25.0,45,24.9,12.0,4.0,1.2,0.8,0.4,0.8,0.507,0.431,0.913,4.4,78,215,2020,1,14
Aaron Wiggins,OKC,26.0,76,22.9,12.0,3.9,1.8,0.8,0.2,0.9,0.488,0.383,0.831,6.8,77,190,2021,2,55
Adam Flagler,OKC,25.0,37,5.5,1.8,0.7,0.3,0.2,0.1,0.1,0.26,0.194,0.5,0.2,75,180,Undrafted,Undrafted,Undrafted
Adem Bona,PHI,22.0,58,15.6,5.8,4.2,0.5,0.4,1.2,1.1,0.703,0.0,0.67,-1.9,82,235,2024,2,41
Ajay Mitchell,OKC,23.0,36,16.6,6.5,1.9,1.8,0.7,0.1,0.8,0.495,0.383,0.829,3.5,77,190,2024,2,38
Al Horford,BOS,39.0,60,27.6,9.0,6.2,2.1,0.6,0.9,0.8,0.423,0.363,0.895,6.6,81,240,2007,1,3
Alec Burks,MIA,33.0,49,17.6,7.3,2.5,1.1,0.6,0.1,0.6,0.424,0.425,0.776,2.2,77,214,2011,1,12
Alex Caruso,OKC,31.0,54,19.3,7.1,2.9,2.5,1.6,0.6,0.7,0.446,0.353,0.824,5.9,77,186,Undrafted,Undrafted,Undrafted
Alex Ducas,OKC,24.0,21,6.0,1.7,1.2,0.2,0.2,0.0,0.2,0.4,0.476,1.0,-1.0,79,220,Undrafted,Undrafted,Undrafted
Alex Len,LAL,32.0,46,8.3,1.6,2.1,0.8,0.2,0.5,0.4,0.508,0.222,0.471,-3.3,84,250,2013,1,5
Alex Sarr,WAS,20.0,67,27.1,13.0,6.5,2.4,0.7,1.5,1.7,0.394,0.308,0.679,-8.1,84,205,2024,1,2
Alperen Sengun,HOU,22.0,76,31.5,19.1,10.3,4.9,1.1,0.8,2.6,0.496,0.233,0.692,5.4,83,243,2021,1,16
Amen Thompson,HOU,22.0,69,32.3,14.1,8.2,3.8,1.4,1.3,2.0,0.557,0.275,0.684,3.9,79,200,2023,1,4
Amir Coffey,LAC,28.0,72,24.3,9.7,2.2,1.1,0.6,0.1,0.6,0.471,0.409,0.891,-0.9,79,210,Undrafted,Undrafted,Undrafted
Andre Drummond,PHI,31.0,40,18.8,7.3,7.8,0.9,1.0,0.5,1.4,0.5,0.15,0.622,-6.1,83,279,2012,1,9
Andre Jackson Jr.,MIL,23.0,67,14.6,3.4,2.7,1.2,0.5,0.2,0.9,0.477,0.395,0.5,-0.5,78,209,2023,2,36
Andrew Nembhard,IND,25.0,65,28.9,10.0,3.3,5.0,1.2,0.2,1.7,0.458,0.291,0.794,3.1,76,191,2022,2,31
Andrew Wiggins,MIA,30.0,60,30.7,18.0,4.5,2.6,1.0,0.8,1.7,0.448,0.374,0.763,-1.7,79,197,2014,1,1
Anfernee Simons,POR,26.0,70,32.7,19.3,2.7,4.8,0.9,0.1,2.0,0.426,0.363,0.902,-3.1,75,200,2018,1,24
Anthony Black,ORL,21.0,78,24.2,9.4,2.9,3.1,1.1,0.6,1.8,0.423,0.318,0.761,-0.5,79,200,2023,1,6
Anthony Davis,DAL,32.0,51,33.4,24.7,11.6,3.5,1.2,2.2,2.2,0.516,0.282,0.775,0.5,82,253,2012,1,1
Anthony Edwards,MIN,23.0,79,36.3,27.6,5.7,4.5,1.2,0.6,3.2,0.447,0.395,0.837,3.7,76,225,2020,1,1
Anthony Gill,WAS,32.0,51,7.8,2.5,1.3,0.3,0.2,0.0,0.2,0.489,0.323,0.66,-1.4,80,230,Undrafted,Undrafted,Undrafted
Antonio Reeves,NOP,24.0,44,15.0,6.9,1.4,0.9,0.5,0.1,0.7,0.456,0.395,0.8,-3.4,77,205,2024,2,47
Ariel Hukporti,NYK,23.0,25,8.7,1.9,2.0,0.4,0.0,0.6,0.8,0.677,0.0,0.462,-2.5,83,246,2024,2,58
Ausar Thompson,DET,22.0,59,22.5,10.1,5.1,2.3,1.7,0.7,1.4,0.535,0.224,0.641,1.1,78,205,2023,1,5
Austin Reaves,LAL,27.0,73,34.9,20.2,4.5,5.8,1.1,0.3,2.4,0.46,0.377,0.877,2.7,77,197,Undrafted,Undrafted,Undrafted
Ayo Dosunmu,CHI,25.0,46,30.3,12.3,3.5,4.5,0.9,0.4,1.5,0.492,0.328,0.785,-5.1,77,200,2021,2,38
Bam Adebayo,MIA,27.0,78,34.3,18.1,9.6,4.3,1.3,0.7,2.1,0.485,0.357,0.765,0.3,81,255,2017,1,14
Baylor Scheierman,BOS,24.0,31,12.4,3.6,2.1,1.1,0.5,0.1,0.4,0.355,0.317,0.75,0.9,78,205,2024,1,30
Ben Sheppard,IND,23.0,63,19.5,5.3,2.8,1.3,0.6,0.2,0.3,0.418,0.342,0.889,-0.9,78,190,2023,1,26
Ben Simmons,LAC,28.0,51,22.0,5.0,4.7,5.6,0.7,0.5,2.0,0.52,0.0,0.727,-1.1,82,240,2016,1,1
Bennedict Mathurin,IND,23.0,72,29.9,16.1,5.3,1.9,0.7,0.3,1.9,0.458,0.34,0.831,1.3,77,210,2022,1,6
Bilal Coulibaly,WAS,20.0,59,33.0,12.3,5.0,3.4,1.3,0.7,2.1,0.421,0.281,0.746,-9.9,80,195,2023,1,7
Bismack Biyombo,SAS,32.0,28,18.8,5.1,5.6,1.1,0.6,0.8,1.0,0.588,0.0,0.4,-3.6,80,255,2011,1,7
Blake Wesley,SAS,22.0,58,11.8,3.7,1.1,2.0,0.6,0.1,0.9,0.435,0.293,0.623,-0.2,75,185,2022,1,25
Bobby Portis,MIL,30.0,49,25.4,13.9,8.4,2.1,0.7,0.5,1.2,0.466,0.365,0.836,1.9,82,250,2015,1,22
Bogdan Bogdanović,LAC,32.0,54,25.0,10.8,2.9,2.7,0.8,0.2,1.4,0.427,0.363,0.879,2.0,77,225,2014,1,27
Bol Bol,PHX,25.0,36,12.5,6.8,2.9,0.6,0.3,0.7,0.6,0.525,0.344,0.769,-1.0,87,220,2019,2,44
Bones Hyland,MIN,24.0,24,9.9,6.2,1.0,1.3,0.8,0.2,1.0,0.398,0.39,0.885,-1.3,74,169,2021,1,26
Bradley Beal,PHX,32.0,53,32.1,17.0,3.3,3.7,1.1,0.5,1.9,0.497,0.386,0.803,-5.2,76,207,2012,1,3
Branden Carlson,OKC,26.0,32,7.7,3.8,1.7,0.4,0.2,0.7,0.2,0.443,0.333,0.778,1.3,84,220,Undrafted,Undrafted,Undrafted
Brandin Podziemski,GSW,22.0,64,26.8,11.7,5.1,3.4,1.1,0.2,1.2,0.445,0.372,0.758,4.1,76,205,2023,1,19
Brandon Boston,NOP,23.0,42,23.6,10.7,3.2,2.2,1.3,0.2,1.2,0.436,0.35,0.788,-3.3,78,188,2021,2,51
Brandon Clarke,MEM,28.0,64,18.9,8.3,5.1,1.0,0.8,0.6,0.6,0.621,0.059,0.701,2.8,80,215,2019,1,21
Brandon Miller,CHA,22.0,27,34.2,21.0,4.9,3.6,1.1,0.7,2.8,0.403,0.355,0.861,-4.6,79,200,2023,1,2
Brandon Williams,DAL,25.0,33,14.8,8.3,1.8,2.3,0.7,0.2,1.2,0.521,0.4,0.833,0.3,73,190,Undrafted,Undrafted,Undrafted
Brice Sensabaugh,UTA,21.0,71,20.2,10.9,3.0,1.5,0.6,0.1,1.5,0.459,0.422,0.89,-4.0,77,235,2023,1,28
Bronny James,LAL,20.0,27,6.7,2.3,0.7,0.8,0.3,0.1,0.5,0.313,0.281,0.786,-2.6,75,210,2024,2,55
Brook Lopez,MIL,37.0,80,31.8,13.0,5.0,1.8,0.6,1.9,1.1,0.509,0.373,0.826,1.7,85,282,2008,1,10
Bruce Brown,NOP,28.0,41,22.5,8.3,4.0,2.0,0.8,0.2,1.0,0.421,0.333,0.815,-5.5,76,202,2018,2,42
Bub Carrington,WAS,19.0,82,30.0,9.8,4.2,4.4,0.7,0.3,1.7,0.401,0.339,0.812,-9.7,76,190,2024,1,14
Buddy Hield,GSW,32.0,82,22.7,11.1,3.2,1.6,0.8,0.3,1.1,0.417,0.37,0.828,1.7,76,220,2016,1,6
CJ McCollum,NOP,33.0,56,32.7,21.1,3.8,4.1,0.8,0.4,1.9,0.444,0.373,0.717,-5.0,75,190,2013,1,10
Cade Cunningham,DET,23.0,70,35.0,26.1,6.1,9.1,1.0,0.8,4.4,0.469,0.356,0.846,2.5,78,220,2021,1,1
Caleb Houstan,ORL,22.0,58,13.6,4.1,1.3,0.6,0.4,0.1,0.2,0.421,0.4,0.882,-1.1,80,205,2022,2,32
Caleb Martin,DAL,29.0,45,27.1,7.9,3.9,2.1,1.0,0.5,1.2,0.424,0.359,0.622,-3.4,77,205,Undrafted,Undrafted,Undrafted
Cam Reddish,LAL,25.0,33,17.9,3.2,2.0,0.7,1.0,0.3,0.4,0.404,0.277,0.615,-2.8,79,217,2019,1,10
Cam Spencer,MEM,25.0,25,10.1,4.2,1.2,1.4,0.4,0.0,0.2,0.415,0.365,1.0,1.6,76,205,2024,2,53
Cam Thomas,BKN,23.0,25,31.2,24.0,3.3,3.8,0.6,0.1,2.5,0.438,0.349,0.881,-3.7,75,210,2021,1,27
Cam Whitmore,HOU,20.0,51,16.2,9.4,3.0,1.0,0.6,0.3,0.9,0.444,0.355,0.75,0.0,79,230,2023,1,20
Cameron Johnson,BKN,29.0,57,31.6,18.8,4.3,3.4,0.9,0.4,1.7,0.475,0.39,0.893,-3.5,80,210,2019,1,11
Cameron Payne,NYK,30.0,72,15.1,6.9,1.4,2.8,0.5,0.2,0.7,0.401,0.363,0.907,2.8,75,183,2015,1,14
Caris LeVert,ATL,30.0,64,24.9,12.1,3.2,3.4,0.9,0.5,1.2,0.467,0.373,0.71,4.0,78,205,2016,1,20
Cason Wallace,OKC,21.0,68,27.6,8.4,3.4,2.5,1.8,0.5,0.9,0.474,0.356,0.811,5.4,75,195,2023,1,10
Charles Bassey,SAS,24.0,36,10.4,4.4,4.2,0.5,0.4,0.8,0.6,0.581,0.0,0.636,-3.6,82,230,2021,2,53
Chet Holmgren,OKC,23.0,32,27.4,15.0,8.0,2.0,0.7,2.2,1.8,0.49,0.379,0.754,9.2,85,208,2022,1,2
Chris Boucher,TOR,32.0,50,17.2,10.0,4.5,0.7,0.5,0.5,0.6,0.492,0.363,0.782,0.1,81,200,Undrafted,Undrafted,Undrafted
Chris Livingston,MIL,21.0,21,5.0,1.4,1.7,0.2,0.2,0.0,0.3,0.333,0.0,0.75,-1.4,78,220,2023,2,58
Chris Paul,SAS,40.0,82,28.0,8.8,3.6,7.4,1.3,0.3,1.6,0.427,0.377,0.924,0.0,72,175,2005,1,4
Christian Braun,DEN,24.0,79,33.9,15.4,5.2,2.6,1.1,0.5,1.0,0.58,0.397,0.827,6.1,78,220,2022,1,21
Christian Koloko,LAL,25.0,37,9.2,2.4,2.5,0.4,0.2,0.4,0.3,0.606,0.0,0.714,-0.2,84,225,2022,2,33
Clint Capela,ATL,31.0,55,21.4,8.9,8.5,1.1,0.6,1.0,0.9,0.559,0.0,0.536,-1.4,82,256,2014,1,25
Coby White,CHI,25.0,74,33.1,20.4,3.7,4.5,0.9,0.2,2.4,0.453,0.37,0.902,-1.9,77,195,2019,1,7
Cody Martin,PHX,29.0,53,22.1,6.8,4.2,2.0,1.1,0.6,1.0,0.418,0.285,0.705,-2.0,78,205,2019,2,36
Cody Williams,UTA,20.0,50,21.2,4.6,2.3,1.2,0.5,0.3,0.9,0.323,0.259,0.725,-6.8,79,190,2024,1,10
Colby Jones,WAS,23.0,39,13.2,4.0,2.2,1.1,0.7,0.3,0.6,0.457,0.327,0.657,-2.9,78,207,2023,2,34
Cole Anthony,MEM,25.0,67,18.4,9.4,3.0,2.9,0.7,0.5,1.5,0.424,0.353,0.823,-0.2,74,185,2020,1,15
Colin Castleton,TOR,25.0,26,16.6,4.7,4.7,1.1,0.3,0.4,0.9,0.469,0.125,0.763,-1.2,82,250,Undrafted,Undrafted,Undrafted
Collin Gillespie,PHX,26.0,33,14.0,5.9,2.4,2.4,0.6,0.2,0.5,0.43,0.433,0.864,-0.9,73,195,Undrafted,Undrafted,Undrafted
Collin Sexton,UTA,26.0,63,27.9,18.4,2.7,4.2,0.7,0.1,2.5,0.48,0.406,0.865,-4.5,75,190,2018,1,8
Corey Kispert,WAS,26.0,61,26.3,11.6,3.0,1.7,0.4,0.2,1.0,0.451,0.364,0.852,-4.5,78,224,2021,1,15
Cory Joseph,ORL,33.0,50,12.2,3.5,1.5,1.4,0.5,0.1,0.4,0.403,0.364,0.778,0.7,74,200,2011,1,29
Craig Porter Jr.,CLE,25.0,51,10.1,3.7,1.3,1.4,0.3,0.3,0.7,0.514,0.438,0.719,-0.9,73,180,Undrafted,Undrafted,Undrafted
D'Angelo Russell,BKN,29.0,58,25.5,12.6,2.8,5.1,1.0,0.4,1.9,0.39,0.314,0.834,0.0,75,193,2015,1,2
DaQuan Jeffries,CHA,27.0,47,22.8,6.7,2.9,1.1,0.6,0.5,0.7,0.405,0.335,0.8,-5.9,77,222,Undrafted,Undrafted,Undrafted
Dalano Banton,POR,25.0,67,16.7,8.3,2.0,2.4,0.6,0.5,1.3,0.391,0.324,0.728,-0.8,80,203,2021,2,46
Dalen Terry,CHI,22.0,73,13.5,4.5,1.7,1.3,0.6,0.2,0.7,0.448,0.356,0.71,-2.4,79,195,2022,1,18
Dalton Knecht,LAL,24.0,78,19.2,9.1,2.8,0.8,0.3,0.1,0.5,0.461,0.376,0.762,-0.9,78,215,2024,1,17
Damian Lillard,MIL,34.0,58,36.1,24.9,4.7,7.1,1.2,0.2,2.8,0.448,0.376,0.921,0.9,74,195,2012,1,6
Damion Lee,PHX,32.0,25,5.8,3.3,0.8,0.4,0.2,0.0,0.4,0.365,0.243,0.952,1.0,78,210,Undrafted,Undrafted,Undrafted
Daniel Gafford,DAL,26.0,57,21.5,12.3,6.8,1.4,0.4,1.8,1.2,0.702,0.0,0.689,0.6,82,265,2019,2,38
Daniel Theis,NOP,33.0,38,16.3,4.3,4.3,1.6,0.5,0.5,0.7,0.473,0.243,0.838,-1.6,80,245,Undrafted,Undrafted,Undrafted
Dante Exum,DAL,29.0,20,18.6,8.7,1.7,2.8,0.6,0.2,1.1,0.478,0.434,0.742,-2.4,77,214,2014,1,5
Dariq Whitehead,BKN,20.0,20,12.3,5.7,1.5,0.6,0.3,0.1,0.8,0.406,0.446,0.6,-3.2,78,220,2023,1,22
Darius Garland,CLE,25.0,75,30.7,20.6,2.9,6.7,1.2,0.1,2.5,0.472,0.401,0.878,6.7,73,192,2019,1,5
David Roddy,HOU,24.0,33,12.4,4.6,2.5,1.1,0.4,0.3,0.7,0.456,0.311,0.769,-2.3,76,255,2022,1,23
Davion Mitchell,MIA,26.0,74,27.4,7.9,2.3,4.9,1.0,0.2,1.7,0.468,0.398,0.69,0.0,72,202,2021,1,9
Day'Ron Sharpe,BKN,23.0,50,18.1,7.9,6.6,1.8,0.8,0.8,1.3,0.521,0.244,0.757,1.3,81,265,2021,1,29
De'Aaron Fox,SAS,27.0,62,36.1,23.5,4.8,6.3,1.5,0.4,2.8,0.463,0.31,0.827,-1.1,75,185,2017,1,5
De'Andre Hunter,CLE,27.0,64,27.2,17.0,4.0,1.4,0.8,0.2,1.3,0.47,0.405,0.846,1.4,80,221,2019,1,4
DeAndre Jordan,DEN,36.0,56,12.3,3.7,5.1,0.9,0.3,0.5,0.7,0.65,0.0,0.422,-0.8,83,265,2008,2,35
DeMar DeRozan,SAC,35.0,77,35.9,22.2,3.9,4.4,0.8,0.4,1.4,0.477,0.328,0.857,1.4,78,220,2009,1,9
Dean Wade,CLE,28.0,59,21.2,5.4,4.2,1.3,0.7,0.3,0.4,0.413,0.36,0.533,4.8,81,228,Undrafted,Undrafted,Undrafted
Deandre Ayton,POR,26.0,40,30.1,14.4,10.2,1.6,0.8,1.0,1.7,0.566,0.188,0.667,-4.1,84,252,2018,1,1
Dejounte Murray,NOP,28.0,31,32.6,17.5,6.5,7.4,2.0,0.4,3.4,0.393,0.299,0.823,-6.7,76,180,2016,1,29
Delon Wright,NYK,33.0,40,15.9,3.1,1.7,1.9,0.9,0.3,0.6,0.344,0.274,0.6,0.0,77,185,2015,1,20
Deni Avdija,POR,24.0,72,30.0,16.9,7.3,3.9,1.0,0.5,2.7,0.476,0.365,0.78,-1.1,81,240,2020,1,9
Dennis Schröder,DET,31.0,75,28.1,13.1,2.6,5.4,0.9,0.2,1.9,0.406,0.342,0.838,-1.0,73,175,2013,1,17
Dereck Lively II,DAL,21.0,36,23.1,8.7,7.5,2.4,0.6,1.6,1.1,0.702,0.0,0.63,3.4,85,230,2023,1,12
Derrick Jones Jr.,LAC,28.0,77,24.3,10.1,3.4,0.8,1.0,0.4,0.9,0.526,0.356,0.703,3.2,78,210,Undrafted,Undrafted,Undrafted
Derrick White,BOS,30.0,76,33.9,16.4,4.5,4.8,0.9,1.1,1.7,0.442,0.384,0.839,7.1,76,190,2017,1,29
Desmond Bane,ORL,27.0,69,32.0,19.2,6.1,5.3,1.2,0.4,2.4,0.484,0.392,0.894,2.1,77,215,2020,1,30
Devin Booker,PHX,28.0,75,37.3,25.6,4.1,7.1,0.9,0.2,2.9,0.461,0.332,0.894,-2.4,78,206,2015,1,13
Devin Carter,SAC,23.0,36,11.0,3.8,2.1,1.1,0.6,0.1,0.5,0.37,0.295,0.591,1.2,74,195,2024,1,13
Devin Vassell,SAS,24.0,64,31.0,16.3,4.0,2.9,1.3,0.5,1.4,0.443,0.368,0.792,-4.1,77,200,2020,1,11
Dillon Brooks,HOU,29.0,75,31.8,14.0,3.7,1.7,0.8,0.2,1.0,0.429,0.397,0.818,2.8,78,225,2017,2,45
Dillon Jones,OKC,23.0,54,10.2,2.5,2.2,1.1,0.3,0.1,0.5,0.383,0.254,0.607,1.4,77,235,2024,1,26
Domantas Sabonis,SAC,29.0,70,34.7,19.1,13.9,6.0,0.7,0.4,2.9,0.59,0.417,0.754,2.1,82,240,2016,1,11
Dominick Barlow,ATL,22.0,35,10.7,4.2,2.4,0.5,0.3,0.5,0.1,0.531,0.259,0.636,-0.1,80,215,Undrafted,Undrafted,Undrafted
Donovan Clingan,POR,21.0,67,19.8,6.5,7.9,1.1,0.5,1.6,1.1,0.539,0.286,0.596,0.0,86,280,2024,1,7
Donovan Mitchell,CLE,28.0,71,31.4,24.0,4.5,5.0,1.3,0.2,2.1,0.443,0.368,0.823,7.4,75,215,2017,1,13
Donte DiVincenzo,MIN,28.0,62,25.9,11.7,3.7,3.6,1.2,0.3,1.6,0.422,0.397,0.778,2.8,76,203,2018,1,17
Dorian Finney-Smith,LAL,32.0,63,28.9,8.7,3.9,1.4,0.9,0.4,0.9,0.448,0.411,0.667,4.9,79,220,Undrafted,Undrafted,Undrafted
Doug McDermott,SAC,33.0,42,8.1,3.5,0.5,0.2,0.1,0.0,0.1,0.427,0.436,0.6,0.6,78,225,2014,1,11
Draymond Green,GSW,35.0,68,29.2,9.0,6.1,5.6,1.5,1.0,2.6,0.424,0.325,0.687,4.0,78,230,2012,2,35
Drew Eubanks,LAC,28.0,61,12.2,4.6,3.7,0.9,0.2,0.6,0.7,0.593,0.5,0.662,-2.1,82,245,Undrafted,Undrafted,Undrafted
Drew Peterson,BOS,25.0,25,7.4,2.2,1.6,0.5,0.2,0.1,0.3,0.415,0.394,0.778,1.8,81,205,Undrafted,Undrafted,Undrafted
Duncan Robinson,MIA,31.0,74,24.1,11.0,2.3,2.4,0.5,0.1,1.2,0.437,0.393,0.887,0.9,79,215,Undrafted,Undrafted,Undrafted
Duop Reath,POR,29.0,46,10.2,4.2,2.0,0.6,0.3,0.3,0.3,0.422,0.321,0.909,-1.2,81,245,Undrafted,Undrafted,Undrafted
Dwight Powell,DAL,33.0,55,10.0,2.1,2.1,1.0,0.3,0.4,0.3,0.689,0.4,0.651,-0.3,82,240,2014,2,45
Dyson Daniels,ATL,22.0,76,33.8,14.1,5.9,4.4,3.0,0.7,2.0,0.493,0.34,0.593,-0.9,79,199,2022,1,8
Elfrid Payton,NOP,31.0,24,21.3,3.5,3.3,6.9,1.0,0.5,2.5,0.328,0.167,0.571,-6.2,75,195,2014,1,10
Enrique Freeman,IND,24.0,22,8.2,2.1,1.4,0.4,0.1,0.1,0.3,0.432,0.1,0.684,-0.9,79,220,2024,2,50
Eric Gordon,PHI,36.0,39,19.7,6.8,1.2,1.7,0.7,0.3,0.7,0.426,0.409,0.75,-1.8,75,215,2008,1,7
Evan Mobley,CLE,24.0,71,30.5,18.5,9.3,3.2,0.9,1.6,2.0,0.557,0.37,0.725,7.7,83,215,2021,1,3
Franz Wagner,ORL,23.0,60,33.7,24.2,5.7,4.7,1.3,0.4,2.3,0.463,0.295,0.871,4.1,82,220,2021,1,8
Fred VanVleet,HOU,31.0,60,35.2,14.1,3.7,5.6,1.6,0.4,1.5,0.378,0.345,0.81,4.4,72,197,Undrafted,Undrafted,Undrafted
GG Jackson,MEM,20.0,29,15.8,7.2,3.2,1.0,0.4,0.2,1.1,0.372,0.337,0.725,-2.3,81,210,2023,2,45
Gabe Vincent,LAL,29.0,72,21.2,6.4,1.3,1.4,0.7,0.2,0.6,0.4,0.353,0.714,0.7,74,200,Undrafted,Undrafted,Undrafted
Garrett Temple,TOR,39.0,28,8.1,1.9,1.0,1.1,0.6,0.1,0.4,0.3,0.214,0.917,-1.0,77,195,Undrafted,Undrafted,Undrafted
Garrison Mathews,ATL,28.0,47,17.6,7.5,1.9,1.3,0.6,0.3,0.7,0.397,0.39,0.821,-1.3,78,215,Undrafted,Undrafted,Undrafted
Gary Harris,ORL,30.0,48,14.8,3.0,1.3,0.6,0.5,0.3,0.4,0.383,0.356,0.583,1.8,76,210,2014,1,19
Gary Payton II,GSW,32.0,62,15.0,6.5,3.0,1.3,0.8,0.3,0.6,0.574,0.326,0.711,0.7,74,195,Undrafted,Undrafted,Undrafted
Gary Trent Jr.,MIL,26.0,74,25.6,11.1,2.3,1.2,1.0,0.1,0.6,0.431,0.416,0.848,0.9,77,204,2018,2,37
Georges Niang,ATL,32.0,79,21.5,9.9,3.4,1.4,0.4,0.2,1.0,0.461,0.406,0.793,2.5,79,230,2016,2,50
Giannis Antetokounmpo,MIL,30.0,67,34.2,30.4,11.9,6.5,0.9,1.2,3.1,0.601,0.222,0.617,5.0,83,243,2013,1,15
Goga Bitadze,ORL,25.0,70,20.4,7.2,6.6,2.0,0.7,1.4,1.0,0.611,0.107,0.639,1.1,82,250,2019,1,18
Gradey Dick,TOR,21.0,54,29.4,14.4,3.6,1.8,0.9,0.2,1.5,0.41,0.35,0.858,-3.9,78,200,2023,1,13
Grayson Allen,PHX,29.0,64,24.1,10.6,3.0,2.1,0.8,0.3,1.2,0.448,0.426,0.816,-1.2,76,198,2018,1,21
Guerschon Yabusele,PHI,29.0,70,27.1,11.0,5.6,2.1,0.8,0.3,1.2,0.501,0.38,0.725,-1.7,80,265,2016,1,16
Gui Santos,GSW,23.0,56,13.6,4.1,3.1,1.4,0.4,0.2,0.8,0.458,0.33,0.69,2.9,78,185,2022,2,55
Harrison Barnes,SAS,33.0,82,27.2,12.3,3.8,1.7,0.5,0.2,0.6,0.508,0.433,0.809,-0.3,80,225,2012,1,7
Haywood Highsmith,MIA,28.0,74,24.6,6.5,3.4,1.5,0.9,0.5,0.7,0.458,0.382,0.721,0.8,77,220,2018,,
Herbert Jones,NOP,26.0,20,32.4,10.3,3.9,3.3,1.9,0.5,1.8,0.436,0.306,0.825,-1.0,79,206,2021,2,35
Hunter Tyson,DEN,25.0,51,7.8,2.6,1.5,0.4,0.2,0.1,0.3,0.375,0.311,0.75,-1.9,80,215,2023,2,37
Immanuel Quickley,TOR,26.0,33,27.8,17.1,3.5,5.8,0.7,0.1,1.8,0.42,0.378,0.867,-1.2,74,190,2020,1,25
Isaac Jones,SAC,24.0,40,7.6,3.4,1.4,0.3,0.1,0.3,0.4,0.651,0.375,0.639,-1.6,81,245,Undrafted,Undrafted,Undrafted
Isaac Okoro,CLE,24.0,55,19.1,6.1,2.4,1.2,0.6,0.3,0.4,0.464,0.371,0.717,4.6,77,225,2020,1,5
Isaiah Collier,UTA,20.0,71,25.9,8.7,3.3,6.3,0.9,0.2,2.9,0.422,0.249,0.682,-5.7,75,210,2024,1,29
Isaiah Hartenstein,OKC,27.0,57,27.9,11.2,10.7,3.8,0.8,1.1,1.7,0.581,0.0,0.675,7.3,84,250,2017,2,43
Isaiah Joe,OKC,25.0,74,21.7,10.2,2.6,1.6,0.6,0.1,0.5,0.44,0.412,0.821,7.4,75,165,2020,2,49
Isaiah Stewart,DET,24.0,72,19.9,6.0,5.5,1.7,0.4,1.4,0.9,0.559,0.321,0.759,0.1,80,250,2020,1,16
Isaiah Wong,CHA,24.0,20,13.3,6.0,1.6,1.4,0.6,0.0,0.9,0.39,0.394,0.735,-0.3,75,185,2023,2,55
Ivica Zubac,LAC,28.0,80,32.8,16.8,12.6,2.7,0.7,1.1,1.6,0.628,0.0,0.661,6.4,84,240,2016,2,32
JT Thor,WAS,22.0,20,12.5,3.6,2.4,0.3,0.4,0.5,0.5,0.424,0.286,0.682,-4.8,81,203,2021,2,37
Ja Morant,MEM,25.0,50,30.4,23.2,4.1,7.3,1.2,0.2,3.7,0.454,0.309,0.824,4.5,74,174,2019,1,2
Ja'Kobe Walter,TOR,20.0,52,21.2,8.6,3.1,1.6,0.8,0.2,1.0,0.405,0.349,0.795,-1.6,77,180,2024,1,19
Jabari Smith Jr.,HOU,22.0,57,30.1,12.2,7.0,1.1,0.4,0.7,1.1,0.438,0.354,0.825,4.4,82,220,2022,1,3
Jabari Walker,POR,22.0,60,12.5,5.2,3.5,0.6,0.6,0.1,0.6,0.515,0.389,0.69,0.3,79,237,2022,2,57
Jaden Hardy,DAL,22.0,57,15.9,8.7,1.6,1.4,0.5,0.1,1.4,0.435,0.386,0.698,-1.1,75,198,2022,2,37
Jaden Ivey,DET,23.0,30,29.9,17.6,4.1,4.0,0.9,0.4,3.0,0.46,0.409,0.733,-2.1,76,195,2022,1,5
Jaden McDaniels,MIN,24.0,82,31.9,12.2,5.7,2.0,1.3,0.9,1.2,0.477,0.33,0.813,2.1,81,185,2020,1,28
Jaden Springer,UTA,22.0,43,8.5,2.5,1.3,0.8,0.6,0.1,0.4,0.389,0.25,0.711,-0.7,76,202,2021,1,28
Jae'Sean Tate,HOU,29.0,52,11.3,3.6,2.3,0.9,0.5,0.1,0.4,0.473,0.348,0.681,1.0,76,230,Undrafted,Undrafted,Undrafted
Jaime Jaquez Jr.,MIA,24.0,66,20.7,8.6,4.4,2.5,0.9,0.2,1.5,0.461,0.311,0.754,-2.3,78,225,2023,1,18
Jake LaRavia,SAC,23.0,66,20.4,6.9,3.9,2.4,0.9,0.3,1.3,0.475,0.423,0.678,1.9,79,235,2022,1,19
