"CFDA PROGRAM NUMBER","STATE APPLICATION IDENTIFIER (SAI NUMBER)","RECIPIENT NAME","RECIPIENT CITY CODE","RECIPIENT CITY NAME","RECIPIENT COUNTY CODE","RECIPIENT COUNTY NAME","RECIPIENT STATE CODE","RECIPIENT ZIP CODE","TYPE OF RECIPIENT","TYPE OF ACTION","RECIPIENT CONGRESSIONAL DISTRICT","FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE","FEDERAL AWARD IDENTIFIER NUMBER","FEDERAL FUNDING SIGN","FEDERAL FUNDING AMOUNT","NON-FEDERAL FUNDING SIGN","NON-FEDERAL FUNDING AMOUNT","TOTAL FUNDING SIGN","TOTAL FUNDING AMOUNT","OBLIGATION ACTION DATE","STARTING DATE","ENDING DATE","TYPE OF ASSISTANCE TRANSACTION","RECORD TYPE","CORRECTION/LATE INDICATOR ","FISCAL YEAR AND QUARTER CORRECTION","PRINCIPAL PLACE OF PERFORMANCE CODE","PRINCIPAL PLACE OF PERFORMANCE: STATE","PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY","CFDA PROGRAM TITLE","FEDERAL AGENCY NAME","STATE NAME FOR RECIPIENT","PROJECT DESCRIPTION"
"12.750","SAI NOT AVAILABLE","HENRY M JACKSON FOUNDATION FOR","07125","BETHESDA","031","MONTGOMERY COUNTY","MARYLAND","208521402","Government codes: State controlled institutions of higher education","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","HU00010610003   08","","2910000","","0","","2910000","07/15/2010","03/01/2006","09/30/2011","project grant  (B)","action-by-action reporting","","","2407125","MARYLAND","BETHESDA","DOD MEDICAL RESEARCH, CONSULTATION AND EDUCATION PROGRAMS","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MARYLAND","DEFENSE GRADUATE PSYCHOLOGY EDUCATION PROGRAM"
"12.800","SAI NOT AVAILABLE","REGENTS OF THE UNIVERSITY OF M","03000","ANN ARBOR","161","WASHTENAW COUNTY","MICHIGAN","481091340","Government codes: State controlled institutions of higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","FA95501010534","","90642","","0","","90642","09/10/2010","09/15/2010","09/14/2011","project grant  (B)","action-by-action reporting","","","2603000","MICHIGAN","ANN ARBOR","AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MICHIGAN","TAS:: 9700 ::TAS "(DARPA) QUANTUM ENTANGLEMENT WITH QUANTUM DOT SPIN STATES," DATED 28 MAY 10 (THE GRANTEE'S TECHNICAL PROPOSAL)"
"12.607","SAI NOT AVAILABLE","FORT MONMOUTH ECONOMIC REVITAL","19840","EATONTOWN","025","MONMOUTH COUNTY","NEW JERSEY","077242263","Government codes: State government","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","90","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010029   0001","","1128919","","0","","1128919","07/14/2010","01/01/2009","12/31/2010","project grant  (B)","action-by-action reporting","","","3419840","NEW JERSEY","EATONTOWN","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","NEW JERSEY","BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE RESPONSIVE ASSISTANCE TO MITIGATE THE MAY 2005 DEPARTMENT OF DEFENSE "BAS"
"12.350","SAI NOT AVAILABLE","CICATELLI ASSOCIATES, INC","51000","NEW YORK","061","NEW YORK COUNTY","NEW YORK","100186505","Nonprofit agencies: other nonprofit","revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding)","90","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","N002441010028   0002","","100000","","0","","100000","09/16/2010","09/30/2010","09/28/2012","project grant  (B)","action-by-action reporting","","","3651000","NEW YORK","NEW YORK","DEPARTMENT OF DEFENSE HIV/AIDS PREVENTION PROGRAM","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","NEW YORK","PEPFAR BELIZE AIDS RELIEF"
"12.607","SAI NOT AVAILABLE","COUNTY OF GRAND FORKS","32060","GRAND FORKS","035","GRAND FORKS COUNTY","NORTH DAKOTA","582014715","Government codes: county government","funding adjustment to completed project","00","DOD-OFFICE OF THE SECRETARY OF DEFENSE","OEA9900910043   0000","-","41433","","0","-","41433","09/13/2010","07/01/2008","09/28/2010","project grant  (B)","action-by-action reporting","","","3832060","NORTH DAKOTA","GRAND FORKS","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","NORTH DAKOTA","BASE REALIGNMENT (RA) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE MAY 2005 DEPARTMENT OF DEFENSE "BASE CLOSU"
"12.800","SAI NOT AVAILABLE","UNIVERSITY OF TEXAS AT AUSTIN","05000","AUSTIN","453","TRAVIS COUNTY","TEXAS","787121500","Government codes: State controlled institutions of higher education","revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding)","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","FA95500910530   0002","","181724","","0","","181724","09/28/2010","10/01/2010","09/30/2011","project grant  (B)","action-by-action reporting","","","4805000","TEXAS","AUSTIN","AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","TEXAS","TAS::97 0400::TAS "OP-AMPS ON FLEXIBLE SUBSTRATES WITH PRINTABLE MATERIALS""
"12.607","SAI NOT AVAILABLE","OFFICE OF THE GOVERNOR","72368","TEXARKANA","037","BOWIE COUNTY","TEXAS","755709554","Government codes: special district government","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","01","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010016   0001","","135000","","0","","135000","07/30/2010","10/01/2009","09/30/2010","project grant  (B)","action-by-action reporting","","","4872368","TEXAS","TEXARKANA","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","TEXAS","BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE ADVERSE IMPACT OF THE SEPTEMBER 2005 DEFENSE B"
"12.607","SAI NOT AVAILABLE","HOUSING AND COMMUNITY DEVELOPM","35000","HAMPTON","650","HAMPTON","VIRGINIA","232191321","Government codes: State government","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","90","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010072   0001","","682941","","97029","","779970","09/23/2010","07/01/2009","12/31/2010","project grant  (B)","action-by-action reporting","","","5135000","VIRGINIA","HAMPTON","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","VIRGINIA","BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE 2005 DEPARTMENT OF DEFENSE'S "BASE CLOSURE AND"
"12.607","SAI NOT AVAILABLE","LOCAL REDEVELOPMENT AUTH ROOSE","33941","HATO REY","127","SAN JUAN MUNICIPIO","PUERTO RICO","009181111","Private: all other","new assistance action","98","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010066","","896445","","0","","896445","07/08/2010","07/01/2010","08/31/2011","project grant  (B)","action-by-action reporting","","","7233941","PUERTO RICO","HATO REY","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","PUERTO RICO","NON BRAC CLOSURE (BC) THE FY04 NATIONAL DEFENSE APPROPRIATIONS ACT (P.L. 108-87) DIRECTED THE CLOSURE OF NAVAL STATION ROOSEVELT ROADS (NSRR) 6 MONTH"
"12.630","SAI NOT AVAILABLE","GAME AND FISH, ARIZONA DEPT OF","55000","PHOENIX","013","MARICOPA COUNTY","ARIZONA","850234312","Government codes: State government","new assistance action","90","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","W9132T1020033","","197436","","0","","197436","07/21/2010","07/21/2010","11/25/2011","cooperative agreement  (B)","action-by-action reporting","","","0455000","ARIZONA","PHOENIX","BASIC APPLIED AND ADVANCED RESEARCH IN SCIENCE AND ENGINEERING","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","ARIZONA","LEGACY - IDENTIFICATION AND STATUS OF SENSITIVE BAT HABITAT RESOURCES ON THE MARINE CORPS AIR STATION YUMA PROVING GROUND"
