pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,sy_dist
Kepler-638 b,Kepler-638,1.83,,6.07972888,0.06695,1111.0,5382.0,0.93,0.88,Transit,2016.0,991.214
WASP-141 b,WASP-141,13.56289,854.9627,3.310651,0.0469,1540.0,5900.0,1.37,1.25,Transit,2016.0,516.543
TOI-6038 A b,TOI-6038 A,6.41,78.5,5.8267311,0.069,1439.0,6110.0,1.648,1.291,Transit,2025.0,179.147
TOI-6041 b,TOI-6041,4.55,28.9,26.04945,0.1651,605.6,5445.0,0.879,0.885,Transit,2025.0,72.4731
EPIC 201170410.02,EPIC 201170410,1.047,,6.7987,0.0349,,3648.0,0.282,0.287,Transit,2020.0,134.0
G 9-40 b,G 9-40,1.9,4.0,5.7459982,0.0418,440.6,3395.0,0.3026,0.2952,Transit,2019.0,27.9276
Kepler-401 c,Kepler-401,2.15,,47.318218,0.269,598.0,6117.0,1.333,1.173,Transit,2014.0,965.56
Kepler-1437 b,Kepler-1437,1.37,,10.9295461,0.0951,770.0,5557.0,0.9,0.93,Transit,2016.0,2101.69
Kepler-220 b,Kepler-220,0.81,,4.159807,0.046,759.0,4632.0,0.666,0.729,Transit,2014.0,171.109
Kepler-703 b,Kepler-703,8.2,,4.583521756,0.0535,1038.0,6185.0,1.27,1.18,Transit,2016.0,1156.83
Kepler-1425 b,Kepler-1425,0.94,,14.4541302,0.11435,676.0,5718.0,0.95,0.97,Transit,2016.0,863.873
Kepler-1350 c,Kepler-1350,1.73,,1.766789062,0.0222,730.0,3827.0,0.53,0.55,Transit,2016.0,340.691
Kepler-354 c,Kepler-354,1.31,,16.934402,0.115,508.0,4648.0,0.674,0.652,Transit,2014.0,554.064
Kepler-1699 b,Kepler-1699,1.56671124,,3.49082,0.0418,1010.0,5575.53,0.725,0.81,Transit,2020.0,818.759
Kepler-206 c,Kepler-206,1.77,,13.137471,0.111,825.0,5764.0,1.185,0.957,Transit,2014.0,594.447
Kepler-702 b,Kepler-702,9.17,,10.526294063,0.088,713.0,5419.0,0.86,0.9,Transit,2016.0,992.071
TOI-2322 c,TOI-2322,1.874,18.1,20.225528,0.1362,496.8,4664.0,0.662,0.703,Transit,2025.0,59.861
Kepler-439 b,Kepler-439,2.24,,178.1396,0.563,291.0,5431.0,0.866,0.884,Transit,2015.0,757.048
Kepler-639 b,Kepler-639,2.38,,10.21420496,0.09358,957.0,5896.0,1.29,1.14,Transit,2016.0,850.242
Kepler-171 b,Kepler-171,2.34,,4.166972,0.05,1053.0,5642.0,0.839,0.978,Transit,2014.0,863.855
Kepler-1526 b,Kepler-1526,2.43,,3.908632005,0.0418,787.0,4601.0,0.69,0.73,Transit,2016.0,555.574
HD 86065 b,HD 86065,12.5,2877.300568571,25775.78859,15.947,,4927.56,0.780347,0.81,Radial Velocity,2022.0,40.3661
HD 115404 A c,HD 115404 A,12.5,3279.671331833,15319.22517,11.364,,5019.17,0.727007,0.83,Radial Velocity,2022.0,10.9816
