RECIPIENT NAME,RECIPIENT CITY NAME,RECIPIENT COUNTY CODE,RECIPIENT COUNTY NAME,RECIPIENT STATE CODE,RECIPIENT ZIP CODE,TYPE OF RECIPIENT,TYPE OF ACTION,RECIPIENT CONGRESSIONAL DISTRICT,FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE,FEDERAL FUNDING AMOUNT,NON-FEDERAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT,OBLIGATION ACTION DATE,STARTING DATE,ENDING DATE,TYPE OF ASSISTANCE TRANSACTION,RECORD TYPE,CORRECTION/LATE INDICATOR,FISCAL YEAR AND QUARTER CORRECTION,PRINCIPAL PLACE OF PERFORMANCE: STATE,PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY,CFDA PROGRAM TITLE,FEDERAL AGENCY NAME,STATE NAME FOR RECIPIENT,PROJECT DESCRIPTION
UNIVERSITY OF MASSACHUSETTS,AMHERST,015,HAMPSHIRE COUNTY,MASSACHUSETTS,010039242,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",153368,0,153368,07/30/2010,08/01/2010,07/31/2013,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,AMHERST,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",MASSACHUSETTS,"TAS::57 3600::TAS LEARNING REPRESENTATION AND CONTROL IN MARKOV DECISION PROCESSES,"""
BRANDEIS UNIVERSITY,WALTHAM,017,MIDDLESEX COUNTY,MASSACHUSETTS,024532728,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",149880,0,149880,09/16/2010,09/15/2010,09/14/2013,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,WALTHAM,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",MASSACHUSETTS,"TAS::57 3600::TAS MODEL-BASED ANALYSIS OF ASSOCIATIVE RECOGNITION, TEMPORAL CONTEXT AND RETRIEVAL"""
MASSACHUSETTS INSTITUTE OF TEC,CAMBRIDGE,017,MIDDLESEX COUNTY,MASSACHUSETTS,021394301,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",49999,0,49999,08/20/2010,09/01/2010,07/31/2013,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,CAMBRIDGE,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",MASSACHUSETTS,"TAS::57 3600::TASDATA-DRIVEN ONLINE AND REAL-TIME COMBINATORIAL OPTIMIZATION"""
MASSACHUSETTS GENERAL HOSPITAL,BOSTON,025,SUFFOLK COUNTY,MASSACHUSETTS,021142621,Nonprofit agencies: other nonprofit,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",2500000,0,2500000,09/15/2010,09/15/2010,09/14/2011,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,BOSTON,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",MASSACHUSETTS,"TAS::97 0130::TAS  RESERACH TO DEVELOP AND APPLY BIOPHOTONICS TO MILITARY NEEDS"""
NORTHEASTERN UNIVERSITY,BOSTON,025,SUFFOLK COUNTY,MASSACHUSETTS,021155005,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",175000,0,175000,08/27/2010,09/01/2010,08/31/2013,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,BOSTON,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",MASSACHUSETTS,"TAS::57 3600::TAS MULTI-SCALE THREE-DIMENSIONAL MODELING OF PLASMA-STRUCTURE INTERACTIONS USING MOVING ADAPTIVE GRIDS"""
UNIVERSITY OF MASSACHUSETTS,WORCESTER,027,WORCESTER COUNTY,MASSACHUSETTS,016550002,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",218750,0,218750,08/17/2010,09/01/2010,08/31/2014,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,WORCESTER,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",MASSACHUSETTS,"TAS::57 3600::TAS NAVIGATIONAL STRATEGIES OF MIGRATING MONARCH BUTTERFLIES"""
MINNESOTA BOARD OF PUBLIC DEFENSE,MINNEAPOLIS,053,HENNEPIN COUNTY,MINNESOTA,55401,Government codes: State government,new assistance action,90,DOJ-OFFICE OF JUSTICE PROGRAMS,253534,0,253534,09/01/2010,01/01/2010,06/30/2011,project grant  (B),action-by-action reporting,NA,NA,MINNESOTA,MINNEAPOLIS,"NATIONAL INSTITUTE OF JUSTICE RESEARCH, EVALUAT. & DEVEL. PROJECT GRANTS",DOJ-OFFICE OF JUSTICE PROGRAMS,MINNESOTA,MINNESOTA JUSTICE COALITION: POSTCONVICTION DNA TESTING INITIATIVE
JACKSON STATE UNIVERSITY,JACKSON,049,HINDS COUNTY,MISSISSIPPI,39217,Government codes: State controlled institutions of higher education,new assistance action,90,DOJ-OFFICE OF JUSTICE PROGRAMS,750000,0,750000,08/20/2010,08/01/2010,07/31/2012,project grant  (B),action-by-action reporting,NA,NA,MISSISSIPPI,JACKSON,CONGRESSIONALLY RECOMMENDED AWARDS,DOJ-OFFICE OF JUSTICE PROGRAMS,MISSISSIPPI,BIO-DEFENSE RESEARCH ON ATTENUATION OF NEW PATHOGENIC STRAINS
"MISSOURI SYSTEM, UNIVERSITY OF",COLUMBIA,019,BOONE COUNTY,MISSOURI,652113020,Government codes: State controlled institutions of higher education,new assistance action,09,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",202540,0,202540,08/10/2010,08/15/2010,08/14/2013,project grant  (B),action-by-action reporting,NA,NA,MISSOURI,COLUMBIA,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",MISSOURI,"TAS::57 3600::TAS (YIP 09) HIGH EFFICIENCY MIR SOURCES USING BEAM RECYCLING"""
DOW KOKAM LLC,LEE'S SUMMIT,095,JACKSON COUNTY,MISSOURI,640642333,Private: small business,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",4825470,0,4825470,09/17/2010,08/06/2010,12/06/2011,cooperative agreement  (B),action-by-action reporting,NA,NA,MISSOURI,LEE'S SUMMIT,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",MISSOURI,TAS::57 3600::TAS   SUPERIOR LITHIUM POLYMER BATTERY DEVELOPMENT
UNIVERSITY OF NEBRASKA,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,685880430,Government codes: State controlled institutions of higher education,new assistance action,01,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",3955290,0,3955290,08/10/2010,09/01/2010,08/31/2014,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEBRASKA,"TAS::573600::TAS SAFEGUARDING END-USER MILITARY SOFTWARE"""
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,692811,0,692811,09/29/2010,07/13/2007,09/30/2007,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,250142,0,250142,09/29/2010,07/13/2007,09/30/2007,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,37733,0,37733,08/12/2010,02/27/2009,09/30/2009,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,77250,0,77250,08/16/2010,02/27/2009,09/30/2009,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,1479862,0,1479862,08/18/2010,02/27/2009,09/30/2009,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,78000,0,78000,08/12/2010,02/11/2009,09/30/2009,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,289296,0,289296,08/12/2010,07/13/2007,09/30/2007,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,896818,0,896818,08/12/2010,07/13/2007,09/30/2007,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,543812,0,543812,08/13/2010,07/13/2007,09/30/2007,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,411947,0,411947,08/12/2010,07/13/2007,09/30/2007,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,5586020,0,5586020,08/23/2010,07/13/2007,09/30/2007,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,1076315,0,1076315,08/23/2010,07/13/2007,09/30/2007,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,669435,0,669435,08/11/2010,02/23/2009,09/30/2009,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,9000,0,9000,08/12/2010,02/11/2009,09/30/2009,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,45000,0,45000,08/12/2010,02/11/2009,09/30/2009,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,LINCOLN,109,LANCASTER COUNTY,NEBRASKA,68508,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),01,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,1306476,0,1306476,08/18/2010,02/11/2009,09/30/2009,project grant  (B),action-by-action reporting,NA,NA,NEBRASKA,LINCOLN,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEBRASKA,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
BOARD OF REGENTS NSHE OBO THE,RENO,031,WASHOE COUNTY,NEVADA,895570000,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),02,"ENERGY, DEPARTMENT OF",750000,0,750000,07/22/2010,09/29/2006,06/30/2011,cooperative agreement  (B),action-by-action reporting,NA,NA,NEVADA,RENO,DEFENSE NUCLEAR NONPROLIFERATION RESEARCH,"ENERGY, DEPARTMENT OF",NEVADA,NA-121.1 HIGH ENERGY DENSITY RESEARCH
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,95687,0,95687,08/30/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,160177,0,160177,08/17/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,282591,0,282591,08/17/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,45356,0,45356,08/18/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,567683,0,567683,08/31/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,237094,0,237094,08/17/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,77250,0,77250,08/18/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,27775,0,27775,09/28/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,285850,0,285850,09/21/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,51645,0,51645,09/23/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,37596,0,37596,09/01/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,12750,0,12750,09/03/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,15617,0,15617,09/23/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,25500,0,25500,09/03/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,180,0,180,09/01/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,490118,0,490118,09/13/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
