RECIPIENT NAME,RECIPIENT CITY NAME,RECIPIENT COUNTY CODE,RECIPIENT COUNTY NAME,RECIPIENT STATE CODE,RECIPIENT ZIP CODE,TYPE OF RECIPIENT,TYPE OF ACTION,RECIPIENT CONGRESSIONAL DISTRICT,FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE,FEDERAL FUNDING AMOUNT,NON-FEDERAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT,OBLIGATION ACTION DATE,STARTING DATE,ENDING DATE,TYPE OF ASSISTANCE TRANSACTION,RECORD TYPE,CORRECTION/LATE INDICATOR,FISCAL YEAR AND QUARTER CORRECTION,PRINCIPAL PLACE OF PERFORMANCE: STATE,PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY,CFDA PROGRAM TITLE,FEDERAL AGENCY NAME,STATE NAME FOR RECIPIENT,PROJECT DESCRIPTION
VILLAGE OF RANTOUL,RANTOUL,019,CHAMPAIGN COUNTY,ILLINOIS,618662919,Government codes: city or township government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),15,DOD-OFFICE OF THE SECRETARY OF DEFENSE,78000,0,78000,12/17/2009,09/01/2009,03/31/2010,project grant  (B),action-by-action reporting,NA,NA,ILLINOIS,RANTOUL,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,ILLINOIS,"BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN RESPONSE TO THE CLOSURE OF CHANUTE AIR FORCE BAS"
CITY OF WAUKEGAN,WAUKEGAN,097,LAKE COUNTY,ILLINOIS,600854316,Government codes: city or township government,new assistance action,90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,26432,0,26432,12/17/2009,12/01/2009,11/30/2010,project grant  (B),action-by-action reporting,NA,NA,ILLINOIS,WAUKEGAN,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,ILLINOIS,"BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN RESPONSE TO THE CLOSURE OF THE WAUKEGAN ARMED FO"
"ADJUTANT GENERAL'S DEPARTMENT,",MANHATTAN,161,RILEY COUNTY,KANSAS,666111220,Private: all other,new assistance action,02,DOD-OFFICE OF THE SECRETARY OF DEFENSE,167495,0,167495,12/23/2009,01/01/2010,12/31/2010,project grant  (B),action-by-action reporting,NA,NA,KANSAS,MANHATTAN,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,KANSAS,BASE CLOSURE (CL) TO EVALUATE THE STATE OF KANSAS' NEEDS AND CAPABILITIES TO ASSIST LOCAL EFFORTS TO MITIGATE THE IMPACTS ARISING FROM THE SEPTEMBER
"NEW ORLEANS, CITY OF",NEW ORLEANS,071,ORLEANS (PARISH),LOUISIANA,701121221,Government codes: city or township government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,165442,0,165442,10/29/2009,10/01/2007,10/31/2009,project grant  (B),action-by-action reporting,NA,NA,LOUISIANA,NEW ORLEANS,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,LOUISIANA,"BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE MAY 2005 DEPARTMENT OF DEFENSE BASE CLOSURE A
12.610,SAI NOT AVAILABLE,PLAQUEMINES PARISH GOVERNMENT,55000,NEW ORLEANS,071,ORLEANS (PARISH),LOUISIANA,700372710,Government codes: county government,new assistance action,90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,HQ00051010007,"",179995,"",0,"",179995,11/10/2009,09/01/2009,08/31/2010,project grant  (B),action-by-action reporting,"","",2255000,LOUISIANA,NEW ORLEANS,COMMUNITY ECONOMIC ADJUSTMENT PLANNING ASSISTANCE FOR JOINT LAND USE STUDI,DOD-OFFICE OF THE SECRETARY OF DEFENSE,LOUISIANA,ENCROACHMENT (EN) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO NAVAL AIR STATION JOINT RESERVE BASE (NAS JRB) NEW ORLEANS,
12.607,SAI NOT AVAILABLE,MIDCOAST REGIONAL REDEVELOPMEN,08430,BRUNSWICK TOWN,005,CUMBERLAND COUNTY,MAINE,040112026,Government codes: special district government,new assistance action,90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,HQ00051010017,"",924000,"",0,"",924000,12/23/2009,01/01/2010,12/31/2010,project grant  (B),action-by-action reporting,"","",2308430,MAINE,BRUNSWICK TOWN,COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA,DOD-OFFICE OF THE SECRETARY OF DEFENSE,MAINE,BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE RECOMMENDATIONS OF THE 2005 DEFENSE BASE CLOSU"
UNIVERSITY OF MARYLAND,COLLEGE PARK,033,PRINCE GEORGE'S,MARYLAND,207425100,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,500000,0,500000,12/17/2009,09/03/2009,05/31/2011,project grant  (B),action-by-action reporting,NA,NA,MARYLAND,COLLEGE PARK,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,MARYLAND,ZENO-BASED OPTO-ELECTRONICS USING SEMICONDUCTOR QUANTUM DOTS COUPLED TO NANOCAVITIES
CHESTERFIELD TOWNSHIP (INC),CHESTERFIELD TOWNSHIP,099,MACOMB COUNTY,MICHIGAN,480475156,Government codes: city or township government,new assistance action,90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,128524,0,128524,12/08/2009,10/01/2009,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,MICHIGAN,CHESTERFIELD TOWNSHIP,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,MICHIGAN,"BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN RESPONSE TO THE CLOSURE OF THE U.S. ARMY GARRISO"
STATE OF NEW JERSEY,EATONTOWN,025,MONMOUTH COUNTY,NEW JERSEY,086081101,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,95635,0,95635,12/17/2009,07/01/2006,12/31/2009,project grant  (B),action-by-action reporting,NA,NA,NEW JERSEY,EATONTOWN,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,NEW JERSEY,"BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE RESPONSIVE ASSISTANCE TO MITIGATE THE MAY 2005 DEPARTMENT OF DEFENSE BAS
12.610,SAI NOT AVAILABLE,OCEAN, COUNTY OF,73110,TOMS RIVER,029,OCEAN COUNTY,NEW JERSEY,087537605,Government codes: county government,new assistance action,90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,HQ00051010018,"",703080,"",0,"",703080,12/23/2009,09/01/2009,03/31/2011,project grant  (B),action-by-action reporting,"","",3473110,NEW JERSEY,TOMS RIVER,COMMUNITY ECONOMIC ADJUSTMENT PLANNING ASSISTANCE FOR JOINT LAND USE STUDI,DOD-OFFICE OF THE SECRETARY OF DEFENSE,NEW JERSEY,ENCROACHMENT (EN) TO PROVIDE FINANCIAL AND TECHNICAL ASSISTANCE TO BURLINGTON AND OCEAN COUNTIES AND MUNICIPAL AND GOVERNMENT JURISDICTIONS THEREIN."
MICROELECTRONICS ADVANCED RESE,DURHAM,063,DURHAM COUNTY,NORTH CAROLINA,277038447,Private: all other,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),04,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,10277500,0,10277500,11/01/2009,11/01/2009,10/31/2010,"other reimbursable, contingent, intangible, or indirect financial assistance",action-by-action reporting,NA,NA,NORTH CAROLINA,DURHAM,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,NORTH CAROLINA,SYSTEM OF NEUROMORPHIC ADAPTIVE PLASTIC SCALABLE
COUNTY OF MONTGOMERY,WILKES-BARRE TOWNSHIP,079,LUZERNE COUNTY,PENNSYLVANIA,19404,Government codes: county government,new assistance action,90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,72108,0,72108,11/03/2009,11/01/2009,03/31/2010,project grant  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,WILKES-BARRE TOWNSHIP,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,PENNSYLVANIA,"BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN RESPONSE TO THE CLOSURE OF THE 1LT RAY S. MUSSEL"
"SAN ANTONIO, CITY OF",SAN ANTONIO,029,BEXAR COUNTY,TEXAS,782833966,Government codes: city or township government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,36000,0,36000,10/28/2009,01/01/2009,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,TEXAS,SAN ANTONIO,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,TEXAS,"BASE REALIGNMENT (RA) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN RESPONSE TO THE REALIGNMENT OF FORT SAM HOUS"
OFFICE OF THE GOVERNOR,TEXARKANA,037,BOWIE COUNTY,TEXAS,755709554,Government codes: special district government,new assistance action,01,DOD-OFFICE OF THE SECRETARY OF DEFENSE,685992,0,685992,12/23/2009,10/01/2009,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,TEXAS,TEXARKANA,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,TEXAS,"BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE ADVERSE IMPACT OF THE SEPTEMBER 2005 DEFENSE B"
"PRINCE WILLIAM, COUNTY OF",AMHERST COUNTY,009,AMHERST COUNTY,VIRGINIA,221929201,Government codes: county government,new assistance action,06,DOD-OFFICE OF THE SECRETARY OF DEFENSE,83207,0,83207,12/23/2009,01/01/2010,12/31/2010,project grant  (B),action-by-action reporting,NA,NA,VIRGINIA,AMHERST COUNTY,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,VIRGINIA,"BASE REALIGNMENT (RA) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN DIRECT RESPONSE TO THE COMBINED IMPACTS FROM"
ARLINGTON ECONOMIC DEVELOPMENT,CHESAPEAKE,550,CHESAPEAKE,VIRGINIA,222014798,Government codes: county government,new assistance action,90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,274322,0,274322,12/23/2009,11/01/2009,10/31/2010,project grant  (B),action-by-action reporting,NA,NA,VIRGINIA,CHESAPEAKE,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,VIRGINIA,"BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE ADVERSE IMPACT OF THE SEPTEMBER 2005 DEFENSE B"
