year,state_code,state_name,health_topic,indicator_metric,measurement_type,numeric_value,demographic_group
2021,SD,South Dakota,Diabetes,Diabetes among adults,Crude Prevalence,,"Black, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Crude Rate,48.4,Overall
2021,RI,Rhode Island,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,46.0,Hispanic
2021,PA,Pennsylvania,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Age-adjusted Prevalence,59.3,"White, non-Hispanic"
2021,RI,Rhode Island,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Crude Rate,58.03,Hispanic
2021,OR,Oregon,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,54.0,Overall
2021,ND,North Dakota,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,,Overall
2021,ND,North Dakota,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Crude Prevalence,,"Asian, non-Hispanic"
2021,PR,Puerto Rico,Tobacco,Quit attempts in the past year among adult current smokers,Crude Prevalence,,Hispanic
2021,OK,Oklahoma,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Crude Rate,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,OH,Ohio,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Number,,Hispanic
2021,OH,Ohio,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,OR,Oregon,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Number,100.0,Overall
2021,SC,South Carolina,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Age-adjusted Rate,20.22,Hispanic
2021,RI,Rhode Island,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Crude Rate,99.0,Overall
2021,ND,North Dakota,Cardiovascular Disease,High blood pressure among adults,Age-adjusted Prevalence,,"Multiracial, non-Hispanic"
2021,ND,North Dakota,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Age-adjusted Rate,,Hispanic
2021,SC,South Carolina,Tobacco,Current cigarette smoking among adults,Crude Prevalence,24.7,"American Indian or Alaska Native, non-Hispanic"
2021,PA,Pennsylvania,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,16.6,"Asian, non-Hispanic"
2021,PA,Pennsylvania,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Age-adjusted Rate,22.7,"Multiracial, non-Hispanic"
2021,OR,Oregon,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Crude Prevalence,,"American Indian or Alaska Native, non-Hispanic"
2021,OH,Ohio,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Crude Rate,16.1,Hispanic
2021,OH,Ohio,Tobacco,Quit attempts in the past year among adult current smokers,Crude Prevalence,,Hispanic
2021,SC,South Carolina,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Number,,Hispanic
2021,SD,South Dakota,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Crude Rate,,Hispanic
2021,RI,Rhode Island,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,RI,Rhode Island,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Age-adjusted Prevalence,70.5,Hispanic
2021,OR,Oregon,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Crude Rate,34.3,"Multiracial, non-Hispanic"
2021,OH,Ohio,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,,"Multiracial, non-Hispanic"
2021,ND,North Dakota,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,39.0,"American Indian or Alaska Native, non-Hispanic"
2021,PR,Puerto Rico,Tobacco,Current cigarette smoking among adults,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,PR,Puerto Rico,Tobacco,Current electronic vapor product use among high school students,Crude Prevalence,,"White, non-Hispanic"
2021,ND,North Dakota,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Number,,"Asian, non-Hispanic"
2021,SC,South Carolina,Diabetes,Diabetes among adults,Age-adjusted Prevalence,17.9,Hispanic
2021,OR,Oregon,Tobacco,Current smokeless tobacco use among high school students,Crude Prevalence,,"Asian, non-Hispanic"
